节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 2, 3, 0, 0, False, 1
112, 1, 4, 0, 0, 0, False, 1
113, 1, 4, 5, 6, 0, False, 2
114, 1, 4, 5, 6, 0, False, 3
115, 2, 7, 0, 0, 0, False, 2
116, 2, 8, 0, 0, 0, False, 3
117, 2, 7, 8, 0, 0, False, 4
118, 2, 7, 8, 0, 0, False, 5
119, 2, 7, 8, 0, 0, False, 6
120, 2, 46, 47, 0, 0, False, 32
121, 2, 48, 50, 51, 0, False, 35
122, 2, 46, 48, 54, 56, False, 43
123, 3, 9, 10, 0, 0, False, 4
124, 3, 9, 10, 11, 0, False, 7
125, 3, 9, 10, 11, 0, False, 8
126, 3, 61, 0, 0, 0, False, 46
127, 3, 60, 0, 0, 0, False, 47
128, 3, 60, 61, 63, 0, False, 48
129, 3, 61, 62, 63, 69, False, 49
130, 3, 60, 62, 63, 64, False, 50
131, 3, 61, 62, 64, 65, False, 51
132, 3, 61, 63, 64, 66, False, 52
133, 3, 62, 63, 64, 65, False, 53
134, 3, 60, 66, 67, 68, False, 54
135, 3, 65, 66, 67, 68, False, 55
136, 3, 60, 61, 62, 64, False, 56
137, 3, 60, 63, 64, 67, False, 57
138, 3, 62, 63, 70, 0, False, 58
139, 3, 62, 64, 69, 70, False, 59
140, 4, 72, 74, 0, 0, False, 52
141, 4, 71, 73, 0, 0, False, 60
142, 4, 71, 73, 74, 0, False, 61
143, 4, 71, 72, 74, 75, False, 62
144, 4, 72, 74, 76, 0, False, 63
145, 4, 73, 75, 76, 0, False, 64
146, 4, 73, 74, 76, 0, False, 65
147, 4, 71, 72, 73, 74, False, 66
148, 4, 71, 73, 74, 75, False, 67
149, 4, 72, 73, 76, 0, False, 68
150, 4, 73, 74, 75, 76, False, 69
151, 4, 73, 74, 75, 76, False, 70
152, 5, 77, 0, 0, 0, False, 71
153, 5, 77, 78, 0, 0, False, 72
154, 5, 77, 78, 0, 0, False, 73
155, 5, 78, 0, 0, 0, False, 74
156, 5, 79, 0, 0, 0, False, 75
157, 5, 79, 0, 0, 0, False, 76
158, 6, 80, 83, 84, 0, False, 75
159, 6, 80, 83, 85, 88, False, 77
160, 6, 81, 84, 94, 0, False, 78
161, 6, 81, 85, 86, 0, False, 79
162, 6, 94, 0, 0, 0, True, 93
163, 7, 19, 0, 0, 0, False, 7
164, 7, 21, 0, 0, 0, False, 9
165, 7, 19, 21, 0, 0, False, 15
166, 7, 19, 20, 21, 0, False, 16
167, 7, 19, 21, 0, 0, False, 17
168, 7, 19, 20, 21, 0, False, 18
169, 7, 95, 0, 0, 0, False, 80
170, 7, 96, 0, 0, 0, False, 81
171, 7, 97, 0, 0, 0, True, 83
172, 7, 97, 0, 0, 0, True, 84
173, 7, 99, 0, 0, 0, False, 87
174, 7, 91, 99, 0, 0, False, 88
175, 7, 91, 100, 0, 0, False, 89
176, 7, 91, 100, 0, 0, False, 90
177, 8, 22, 0, 0, 0, False, 16
178, 8, 22, 0, 0, 0, False, 19
179, 8, 22, 0, 0, 0, False, 20
180, 8, 22, 0, 0, 0, False, 21
181, 8, 101, 0, 0, 0, True, 91
182, 8, 101, 0, 0, 0, True, 92
183, 8, 103, 0, 0, 0, False, 95
184, 8, 103, 0, 0, 0, False, 96
185, 8, 104, 0, 0, 0, False, 99
186, 8, 104, 0, 0, 0, False, 100
187, 9, 105, 0, 0, 0, True, 97
188, 9, 106, 0, 0, 0, True, 101
189, 9, 105, 0, 0, 0, False, 103
190, 9, 106, 0, 0, 0, False, 104
191, 10, 107, 107, 0, 0, True, 98
192, 10, 108, 108, 0, 0, True, 102
193, 10, 107, 0, 0, 0, False, 105
194, 10, 108, 0, 0, 0, False, 106
195, 11, 109, 0, 0, 0, False, 107
196, 11, 109, 0, 0, 0, False, 108
197, 12, 110, 0, 0, 0, False, 109
