节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 3, 0, 0, 0, False, 1
112, 0, 3, 0, 0, 0, False, 2
113, 1, 5, 6, 0, 0, False, 1
114, 1, 5, 6, 0, 0, False, 2
115, 1, 5, 6, 0, 0, False, 3
116, 1, 5, 6, 0, 0, True, 4
117, 2, 7, 8, 9, 0, False, 1
118, 2, 7, 8, 9, 0, False, 3
119, 2, 7, 8, 9, 0, True, 4
120, 2, 7, 8, 9, 0, False, 5
121, 2, 7, 8, 9, 0, False, 6
122, 2, 8, 9, 0, 0, True, 7
123, 2, 57, 0, 0, 0, True, 51
124, 2, 57, 58, 0, 0, False, 53
125, 3, 7, 10, 0, 0, False, 1
126, 3, 7, 10, 11, 0, False, 3
127, 3, 7, 7, 10, 10, True, 4
128, 3, 10, 11, 12, 0, True, 7
129, 3, 10, 11, 12, 0, False, 8
130, 3, 10, 11, 12, 0, False, 9
131, 3, 12, 0, 0, 0, False, 11
132, 3, 62, 0, 0, 0, True, 30
133, 3, 61, 61, 62, 62, True, 51
134, 3, 60, 66, 67, 68, False, 54
135, 3, 60, 63, 64, 67, False, 57
136, 3, 62, 63, 70, 0, False, 58
137, 3, 62, 64, 69, 70, False, 59
138, 4, 13, 14, 0, 0, False, 1
139, 4, 13, 15, 0, 0, False, 3
140, 4, 14, 14, 14, 14, True, 4
141, 4, 13, 13, 14, 14, True, 7
142, 4, 13, 14, 15, 0, False, 10
143, 4, 13, 14, 15, 0, False, 11
144, 4, 13, 14, 15, 0, False, 12
145, 4, 15, 0, 0, 0, False, 14
146, 4, 52, 0, 0, 0, False, 39
147, 4, 52, 0, 0, 0, False, 40
148, 4, 52, 0, 0, 0, False, 49
149, 4, 52, 0, 0, 0, True, 51
150, 4, 71, 73, 0, 0, False, 60
151, 4, 71, 73, 74, 0, False, 61
152, 4, 71, 72, 74, 75, False, 62
153, 4, 72, 74, 76, 0, False, 63
154, 4, 73, 75, 76, 0, False, 64
155, 4, 73, 74, 76, 0, False, 65
156, 4, 71, 72, 73, 74, False, 66
157, 4, 71, 73, 74, 75, False, 67
158, 4, 72, 73, 76, 0, False, 68
159, 4, 73, 74, 75, 76, False, 69
160, 4, 73, 74, 75, 76, False, 70
161, 5, 16, 17, 19, 0, False, 3
162, 5, 16, 16, 16, 16, True, 4
163, 5, 16, 17, 18, 19, False, 6
164, 5, 17, 19, 0, 0, True, 7
