节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 2, 0, 0, 0, False, 1
112, 0, 23, 28, 0, 0, False, 17
113, 0, 23, 24, 0, 0, False, 19
114, 0, 22, 24, 0, 0, False, 20
115, 1, 4, 31, 32, 0, False, 1
116, 1, 4, 0, 0, 0, False, 2
117, 1, 4, 0, 0, 0, False, 3
118, 1, 35, 36, 38, 0, True, 10
119, 1, 29, 30, 33, 0, False, 18
120, 1, 29, 31, 33, 34, False, 22
121, 1, 32, 33, 35, 38, False, 23
122, 1, 29, 32, 35, 36, False, 24
123, 1, 29, 33, 37, 41, False, 25
124, 1, 30, 31, 32, 33, False, 26
125, 1, 33, 34, 38, 40, False, 27
126, 1, 29, 33, 35, 38, False, 28
127, 2, 45, 46, 0, 0, False, 29
128, 2, 45, 0, 0, 0, False, 30
129, 2, 47, 0, 0, 0, False, 31
130, 2, 46, 47, 0, 0, False, 32
131, 2, 45, 47, 49, 0, False, 33
132, 2, 45, 47, 49, 0, False, 34
133, 2, 48, 50, 51, 0, False, 35
134, 2, 48, 50, 51, 0, False, 36
135, 2, 49, 50, 51, 52, False, 37
136, 2, 50, 51, 52, 0, False, 38
137, 2, 45, 50, 52, 0, False, 39
138, 2, 46, 52, 53, 56, False, 40
139, 2, 45, 46, 47, 53, False, 41
140, 2, 48, 53, 54, 55, False, 42
141, 2, 46, 48, 54, 56, False, 43
142, 2, 47, 49, 54, 56, False, 44
143, 3, 6, 7, 0, 0, False, 2
144, 3, 6, 0, 0, 0, True, 5
145, 3, 60, 0, 0, 0, False, 45
146, 3, 61, 0, 0, 0, False, 46
147, 3, 60, 0, 0, 0, False, 47
148, 3, 60, 61, 63, 0, False, 48
149, 3, 61, 62, 63, 69, False, 49
150, 3, 60, 62, 63, 64, False, 50
151, 3, 61, 62, 64, 65, False, 51
152, 3, 61, 63, 64, 66, False, 52
153, 3, 62, 63, 64, 65, False, 53
154, 3, 60, 66, 67, 68, False, 54
155, 3, 65, 66, 67, 68, False, 55
156, 3, 60, 61, 62, 64, False, 56
157, 3, 60, 63, 64, 67, False, 57
158, 3, 62, 63, 70, 0, False, 58
159, 3, 62, 64, 69, 70, False, 59
160, 4, 8, 0, 0, 0, False, 3
161, 4, 8, 9, 0, 0, False, 4
162, 4, 8, 9, 0, 0, True, 5
163, 4, 8, 9, 0, 0, False, 6
164, 4, 9, 0, 0, 0, False, 7
165, 4, 71, 73, 0, 0, False, 60
166, 4, 71, 73, 74, 0, False, 61
167, 4, 71, 72, 74, 75, False, 62
168, 4, 72, 74, 76, 0, False, 63
169, 4, 73, 75, 76, 0, False, 64
170, 4, 73, 74, 76, 0, False, 65
171, 4, 71, 72, 73, 74, False, 66
172, 4, 71, 73, 74, 75, False, 67
173, 4, 72, 73, 76, 0, False, 68
174, 4, 73, 74, 75, 76, False, 69
175, 4, 73, 74, 75, 76, False, 70
176, 5, 77, 0, 0, 0, False, 71
177, 5, 77, 78, 0, 0, False, 72
178, 5, 77, 78, 0, 0, False, 73
179, 5, 78, 0, 0, 0, False, 74
180, 5, 79, 0, 0, 0, False, 75
181, 5, 79, 0, 0, 0, False, 76
182, 6, 11, 0, 0, 0, True, 10
183, 6, 80, 83, 85, 88, False, 77
184, 6, 81, 84, 92, 94, False, 78
185, 6, 81, 85, 86, 0, False, 79
186, 6, 94, 0, 0, 0, True, 93
187, 7, 13, 0, 0, 0, False, 1
188, 7, 13, 14, 0, 0, False, 2
189, 7, 13, 14, 0, 0, True, 10
190, 7, 12, 13, 0, 0, False, 11
191, 7, 95, 0, 0, 0, False, 80
192, 7, 96, 0, 0, 0, False, 81
193, 7, 99, 0, 0, 0, False, 87
194, 7, 91, 99, 0, 0, False, 88
195, 7, 91, 100, 0, 0, False, 89
196, 7, 91, 100, 0, 0, False, 90
197, 8, 15, 0, 0, 0, False, 3
198, 8, 15, 16, 0, 0, False, 4
199, 8, 15, 0, 0, 0, True, 10
200, 8, 15, 0, 0, 0, False, 12
201, 8, 16, 0, 0, 0, False, 13
202, 8, 97, 0, 0, 0, True, 83
203, 8, 97, 0, 0, 0, True, 84
204, 8, 101, 0, 0, 0, True, 91
205, 8, 101, 0, 0, 0, True, 92
206, 8, 103, 0, 0, 0, False, 95
207, 8, 103, 0, 0, 0, False, 96
208, 8, 104, 0, 0, 0, False, 99
209, 8, 104, 0, 0, 0, False, 100
210, 9, 105, 0, 0, 0, True, 97
211, 9, 106, 0, 0, 0, True, 101
212, 9, 105, 0, 0, 0, False, 103
213, 9, 106, 0, 0, 0, False, 104
214, 10, 107, 107, 0, 0, True, 98
215, 10, 108, 108, 0, 0, True, 102
216, 10, 107, 0, 0, 0, False, 105
217, 10, 108, 0, 0, 0, False, 106
218, 11, 109, 0, 0, 0, False, 107
219, 11, 109, 0, 0, 0, False, 108
220, 12, 110, 0, 0, 0, False, 109
