节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 2, 3, 0, 0, False, 1
112, 1, 4, 0, 0, 0, False, 1
113, 1, 4, 5, 6, 0, False, 2
114, 1, 4, 5, 6, 0, False, 3
115, 1, 35, 36, 39, 40, False, 24
116, 1, 37, 41, 42, 0, False, 25
117, 1, 37, 41, 0, 0, False, 26
118, 1, 34, 36, 39, 41, False, 29
119, 1, 35, 36, 37, 40, False, 31
120, 1, 34, 38, 39, 41, False, 33
121, 2, 7, 0, 0, 0, False, 2
122, 2, 8, 0, 0, 0, False, 3
123, 2, 7, 8, 0, 0, False, 4
124, 2, 7, 8, 0, 0, False, 5
125, 2, 7, 8, 0, 0, False, 6
126, 2, 46, 47, 0, 0, False, 32
127, 2, 47, 49, 0, 0, False, 34
128, 2, 48, 50, 51, 0, False, 35
129, 2, 48, 50, 51, 0, False, 36
130, 2, 49, 50, 51, 52, False, 37
131, 2, 50, 51, 52, 0, False, 38
132, 2, 50, 52, 0, 0, False, 39
133, 2, 46, 52, 53, 56, False, 40
134, 2, 46, 47, 53, 54, False, 41
135, 2, 48, 53, 54, 55, False, 42
136, 2, 46, 48, 54, 56, False, 43
137, 2, 47, 49, 54, 56, False, 44
138, 3, 9, 10, 11, 0, False, 5
139, 3, 9, 10, 11, 0, False, 7
140, 3, 9, 10, 11, 0, False, 8
141, 3, 61, 0, 0, 0, False, 46
142, 3, 60, 0, 0, 0, False, 47
143, 3, 60, 61, 63, 0, False, 48
144, 3, 61, 62, 63, 69, False, 49
145, 3, 60, 62, 63, 64, False, 50
146, 3, 61, 62, 64, 65, False, 51
147, 3, 61, 63, 64, 66, False, 52
148, 3, 62, 63, 64, 65, False, 53
149, 3, 60, 66, 67, 68, False, 54
150, 3, 65, 66, 67, 68, False, 55
151, 3, 60, 61, 62, 64, False, 56
152, 3, 60, 63, 64, 67, False, 57
153, 3, 62, 63, 70, 0, False, 58
154, 3, 62, 64, 69, 70, False, 59
155, 4, 13, 0, 0, 0, False, 1
156, 4, 12, 13, 0, 0, False, 9
157, 4, 12, 13, 0, 0, False, 10
158, 4, 12, 13, 0, 0, False, 11
159, 4, 71, 0, 0, 0, False, 58
160, 4, 71, 73, 0, 0, False, 60
161, 4, 71, 73, 74, 0, False, 61
162, 4, 71, 72, 74, 75, False, 62
163, 4, 72, 74, 76, 0, False, 63
164, 4, 73, 75, 76, 0, False, 64
165, 4, 73, 74, 76, 0, False, 65
166, 4, 71, 72, 73, 74, False, 66
167, 4, 71, 73, 74, 75, False, 67
168, 4, 72, 73, 76, 0, False, 68
169, 4, 73, 74, 75, 76, False, 69
170, 4, 73, 74, 75, 76, False, 70
171, 5, 15, 0, 0, 0, False, 3
172, 5, 14, 15, 0, 0, False, 8
173, 5, 14, 15, 0, 0, False, 12
174, 5, 14, 15, 16, 0, False, 13
175, 5, 77, 0, 0, 0, False, 71
176, 5, 77, 78, 0, 0, False, 72
177, 5, 77, 78, 0, 0, False, 73
178, 5, 78, 0, 0, 0, False, 74
179, 5, 79, 0, 0, 0, False, 75
180, 5, 79, 0, 0, 0, False, 76
181, 6, 18, 0, 0, 0, False, 15
182, 6, 18, 0, 0, 0, False, 16
183, 6, 80, 83, 85, 88, False, 77
184, 6, 81, 84, 94, 0, False, 78
185, 6, 81, 85, 86, 0, False, 79
186, 6, 94, 0, 0, 0, True, 93
187, 7, 95, 0, 0, 0, False, 80
188, 7, 96, 0, 0, 0, False, 81
189, 7, 97, 0, 0, 0, True, 83
190, 7, 97, 0, 0, 0, True, 84
191, 7, 99, 0, 0, 0, False, 87
192, 7, 91, 99, 0, 0, False, 88
193, 7, 91, 100, 0, 0, False, 89
194, 7, 91, 100, 0, 0, False, 90
195, 8, 103, 0, 0, 0, False, 95
196, 8, 103, 0, 0, 0, False, 96
197, 8, 104, 0, 0, 0, False, 99
198, 8, 104, 0, 0, 0, False, 100
199, 9, 105, 0, 0, 0, True, 97
200, 9, 106, 0, 0, 0, True, 101
201, 9, 105, 0, 0, 0, False, 103
202, 9, 106, 0, 0, 0, False, 104
203, 10, 107, 107, 0, 0, True, 98
204, 10, 108, 108, 0, 0, True, 102
205, 10, 107, 0, 0, 0, False, 105
206, 10, 108, 0, 0, 0, False, 106
207, 11, 109, 0, 0, 0, False, 107
208, 11, 109, 0, 0, 0, False, 108
209, 12, 110, 0, 0, 0, False, 109
