节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 4, 0, 0, 0, False, 1
112, 0, 4, 5, 6, 0, False, 2
113, 0, 4, 5, 6, 0, False, 3
114, 1, 8, 0, 0, 0, False, 3
115, 1, 8, 9, 10, 0, False, 4
116, 1, 8, 9, 10, 11, False, 5
117, 1, 8, 9, 10, 11, False, 6
118, 1, 8, 9, 10, 11, True, 7
119, 2, 12, 0, 0, 0, False, 6
120, 2, 12, 14, 0, 0, True, 7
121, 2, 12, 14, 0, 0, False, 8
122, 2, 12, 14, 0, 0, True, 9
123, 2, 12, 14, 0, 0, False, 10
124, 2, 12, 0, 0, 0, False, 11
125, 2, 14, 0, 0, 0, True, 13
126, 2, 48, 50, 51, 0, False, 35
127, 2, 47, 49, 54, 56, False, 44
128, 3, 61, 0, 0, 0, True, 17
129, 3, 60, 0, 0, 0, False, 45
130, 3, 61, 0, 0, 0, False, 46
131, 3, 60, 0, 0, 0, False, 47
132, 3, 60, 61, 63, 0, False, 48
133, 3, 61, 62, 63, 69, False, 49
134, 3, 60, 62, 63, 64, False, 50
135, 3, 61, 62, 64, 65, False, 51
136, 3, 61, 63, 64, 66, False, 52
137, 3, 62, 63, 64, 65, False, 53
138, 3, 60, 66, 67, 68, False, 54
139, 3, 65, 66, 67, 68, False, 55
140, 3, 60, 61, 62, 64, False, 56
141, 3, 60, 63, 64, 67, False, 57
142, 3, 62, 63, 70, 0, False, 58
143, 3, 62, 64, 69, 70, False, 59
144, 4, 71, 73, 0, 0, False, 60
145, 4, 71, 73, 74, 0, False, 61
146, 4, 71, 72, 74, 75, False, 62
147, 4, 72, 74, 76, 0, False, 63
148, 4, 73, 75, 76, 0, False, 64
149, 4, 73, 74, 76, 0, False, 65
150, 4, 71, 72, 73, 74, False, 66
151, 4, 71, 73, 74, 75, False, 67
152, 4, 72, 73, 76, 0, False, 68
153, 4, 73, 74, 75, 76, False, 69
154, 4, 73, 74, 75, 76, False, 70
155, 5, 79, 0, 0, 0, False, 69
156, 5, 77, 0, 0, 0, False, 71
157, 5, 77, 78, 0, 0, False, 72
158, 5, 77, 78, 0, 0, False, 73
159, 5, 78, 0, 0, 0, False, 74
160, 5, 79, 0, 0, 0, False, 75
161, 5, 79, 0, 0, 0, False, 76
162, 6, 20, 0, 0, 0, True, 12
163, 6, 20, 20, 20, 0, True, 13
164, 6, 20, 0, 0, 0, False, 14
165, 6, 20, 0, 0, 0, True, 16
166, 6, 20, 0, 0, 0, False, 19
167, 6, 80, 83, 85, 88, False, 77
168, 6, 81, 84, 94, 0, False, 78
169, 6, 81, 85, 86, 0, False, 79
170, 7, 21, 0, 0, 0, True, 9
171, 7, 21, 0, 0, 0, True, 16
172, 7, 21, 0, 0, 0, True, 17
173, 7, 21, 0, 0, 0, False, 20
174, 7, 95, 0, 0, 0, False, 80
175, 7, 96, 0, 0, 0, False, 81
176, 7, 97, 0, 0, 0, True, 83
177, 7, 97, 0, 0, 0, True, 84
178, 7, 99, 0, 0, 0, False, 87
179, 7, 91, 99, 0, 0, False, 88
180, 7, 91, 100, 0, 0, False, 89
181, 7, 91, 100, 0, 0, False, 90
182, 8, 93, 101, 0, 0, True, 91
183, 8, 93, 101, 0, 0, True, 92
184, 8, 103, 0, 0, 0, False, 95
185, 8, 103, 0, 0, 0, False, 96
186, 8, 104, 0, 0, 0, False, 99
187, 8, 104, 0, 0, 0, False, 100
188, 9, 105, 0, 0, 0, True, 97
189, 9, 106, 0, 0, 0, True, 101
190, 9, 105, 0, 0, 0, False, 103
191, 9, 106, 0, 0, 0, False, 104
192, 10, 107, 107, 0, 0, True, 98
193, 10, 108, 108, 0, 0, True, 102
194, 10, 107, 0, 0, 0, False, 105
195, 10, 108, 0, 0, 0, False, 106
196, 11, 109, 0, 0, 0, False, 107
197, 11, 109, 0, 0, 0, False, 108
198, 12, 110, 0, 0, 0, False, 109
