节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 2, 0, 0, 0, False, 1
112, 1, 3, 31, 32, 0, False, 1
113, 1, 3, 0, 0, 0, False, 2
114, 1, 33, 0, 0, 0, True, 7
115, 1, 35, 36, 38, 0, True, 10
116, 1, 37, 0, 0, 0, True, 12
117, 1, 33, 35, 38, 39, False, 28
118, 2, 4, 5, 6, 0, False, 3
119, 2, 45, 0, 0, 0, False, 30
120, 2, 47, 0, 0, 0, False, 31
121, 2, 46, 47, 0, 0, False, 32
122, 2, 45, 47, 49, 0, False, 33
123, 2, 45, 47, 49, 0, False, 34
124, 2, 48, 50, 51, 0, False, 35
125, 2, 48, 50, 51, 0, False, 36
126, 2, 49, 50, 51, 52, False, 37
127, 2, 50, 51, 52, 0, False, 38
128, 2, 45, 50, 52, 0, False, 39
129, 2, 46, 52, 53, 56, False, 40
130, 2, 45, 46, 47, 53, False, 41
131, 2, 48, 53, 54, 55, False, 42
132, 2, 46, 48, 54, 56, False, 43
133, 2, 47, 49, 54, 56, False, 44
134, 3, 8, 9, 0, 0, False, 4
135, 3, 8, 9, 11, 0, False, 5
136, 3, 8, 9, 11, 0, False, 6
137, 3, 60, 0, 0, 0, False, 45
138, 3, 61, 0, 0, 0, False, 46
139, 3, 60, 0, 0, 0, False, 47
140, 3, 60, 61, 63, 0, False, 48
141, 3, 61, 62, 63, 69, False, 49
142, 3, 60, 62, 63, 64, False, 50
143, 3, 61, 62, 64, 65, False, 51
144, 3, 61, 63, 64, 66, False, 52
145, 3, 62, 63, 64, 65, False, 53
146, 3, 60, 66, 67, 68, False, 54
147, 3, 65, 66, 67, 68, False, 55
148, 3, 60, 61, 62, 64, False, 56
149, 3, 60, 63, 64, 67, False, 57
150, 3, 62, 63, 70, 0, False, 58
151, 3, 62, 64, 69, 70, False, 59
152, 4, 13, 14, 0, 0, True, 7
153, 4, 13, 14, 0, 0, False, 8
154, 4, 13, 14, 0, 0, False, 9
155, 4, 13, 14, 0, 0, True, 10
156, 4, 13, 0, 0, 0, False, 11
157, 4, 13, 14, 0, 0, True, 12
158, 4, 71, 73, 0, 0, False, 60
159, 4, 71, 73, 74, 0, False, 61
160, 4, 71, 72, 74, 75, False, 62
161, 4, 72, 74, 76, 0, False, 63
162, 4, 73, 75, 76, 0, False, 64
163, 4, 73, 74, 76, 0, False, 65
164, 4, 71, 72, 73, 74, False, 66
165, 4, 71, 73, 74, 75, False, 67
166, 4, 72, 73, 76, 0, False, 68
167, 4, 73, 74, 75, 76, False, 69
168, 4, 73, 74, 75, 76, False, 70
169, 5, 77, 0, 0, 0, False, 71
170, 5, 77, 78, 0, 0, False, 72
171, 5, 77, 78, 0, 0, False, 73
172, 5, 78, 0, 0, 0, False, 74
173, 5, 79, 0, 0, 0, False, 75
174, 5, 79, 0, 0, 0, False, 76
175, 6, 80, 84, 86, 0, False, 70
176, 6, 80, 83, 85, 88, False, 77
177, 6, 81, 84, 94, 0, False, 78
178, 6, 81, 85, 86, 0, False, 79
179, 6, 94, 0, 0, 0, True, 93
180, 7, 95, 0, 0, 0, False, 80
181, 7, 96, 0, 0, 0, False, 81
182, 7, 97, 0, 0, 0, True, 83
183, 7, 97, 0, 0, 0, True, 84
184, 7, 98, 0, 0, 0, True, 85
185, 7, 98, 0, 0, 0, True, 86
186, 7, 99, 0, 0, 0, False, 87
187, 7, 91, 99, 0, 0, False, 88
188, 7, 91, 100, 0, 0, False, 89
189, 7, 91, 100, 0, 0, False, 90
190, 7, 101, 0, 0, 0, True, 92
191, 8, 103, 0, 0, 0, False, 95
192, 8, 103, 0, 0, 0, False, 96
193, 8, 104, 0, 0, 0, False, 99
194, 8, 104, 0, 0, 0, False, 100
195, 9, 105, 0, 0, 0, True, 97
196, 9, 106, 0, 0, 0, True, 101
197, 9, 105, 0, 0, 0, False, 103
198, 9, 106, 0, 0, 0, False, 104
199, 10, 107, 0, 0, 0, True, 98
200, 10, 108, 108, 0, 0, True, 102
201, 10, 107, 0, 0, 0, False, 105
202, 10, 108, 0, 0, 0, False, 106
203, 11, 109, 0, 0, 0, False, 107
204, 11, 109, 0, 0, 0, False, 108
205, 12, 110, 0, 0, 0, False, 109
