节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 2, 3, 0, 0, False, 1
112, 1, 4, 0, 0, 0, False, 1
113, 1, 4, 0, 0, 0, False, 2
114, 1, 4, 0, 0, 0, False, 3
115, 2, 38, 0, 0, 0, True, 10
116, 2, 39, 41, 0, 0, False, 29
117, 2, 38, 39, 41, 0, False, 30
118, 2, 40, 42, 44, 0, False, 31
119, 2, 38, 40, 42, 44, False, 32
120, 2, 38, 39, 41, 42, False, 35
121, 2, 39, 40, 43, 0, True, 37
122, 2, 58, 59, 0, 0, True, 46
123, 3, 5, 6, 7, 0, False, 2
124, 3, 5, 6, 7, 0, False, 4
125, 3, 47, 62, 0, 0, False, 31
126, 3, 49, 50, 51, 0, True, 37
127, 3, 50, 51, 0, 0, True, 38
128, 3, 47, 48, 50, 68, False, 39
129, 3, 47, 68, 0, 0, False, 41
130, 3, 48, 0, 0, 0, False, 42
131, 3, 48, 49, 0, 0, False, 43
132, 3, 47, 49, 50, 0, False, 44
133, 3, 49, 50, 51, 61, True, 46
134, 3, 60, 61, 62, 64, False, 56
135, 3, 60, 63, 64, 67, False, 57
136, 3, 62, 63, 70, 0, False, 58
137, 3, 62, 64, 69, 70, False, 59
138, 4, 8, 9, 0, 0, True, 5
139, 4, 8, 9, 0, 0, False, 6
140, 4, 8, 9, 0, 0, False, 7
141, 4, 16, 0, 0, 0, False, 11
142, 4, 16, 0, 0, 0, True, 13
143, 4, 16, 0, 0, 0, False, 14
144, 4, 16, 0, 0, 0, False, 15
145, 4, 52, 0, 0, 0, True, 37
146, 4, 52, 0, 0, 0, True, 46
147, 4, 53, 0, 0, 0, False, 47
148, 4, 53, 54, 0, 0, False, 48
149, 4, 52, 53, 54, 0, False, 49
150, 4, 53, 54, 0, 0, False, 50
151, 4, 52, 54, 0, 0, True, 51
152, 4, 71, 73, 0, 0, False, 60
153, 4, 71, 73, 74, 0, False, 61
154, 4, 71, 72, 74, 75, False, 62
155, 4, 72, 74, 76, 0, False, 63
156, 4, 73, 75, 76, 0, False, 64
157, 4, 73, 74, 76, 0, False, 65
158, 4, 71, 72, 73, 74, False, 66
159, 4, 71, 73, 74, 75, False, 67
160, 4, 72, 73, 76, 0, False, 68
161, 4, 73, 74, 75, 76, False, 69
162, 4, 73, 74, 75, 76, False, 70
163, 5, 55, 0, 0, 0, True, 46
164, 5, 55, 0, 0, 0, True, 51
165, 5, 55, 0, 0, 0, True, 52
166, 5, 55, 0, 0, 0, False, 53
167, 5, 55, 0, 0, 0, False, 54
168, 5, 77, 0, 0, 0, False, 71
169, 5, 77, 78, 0, 0, False, 72
170, 5, 77, 78, 0, 0, False, 73
171, 5, 78, 0, 0, 0, False, 74
172, 5, 79, 0, 0, 0, False, 75
173, 5, 79, 0, 0, 0, False, 76
174, 6, 80, 81, 0, 0, False, 72
175, 6, 80, 83, 85, 88, False, 77
176, 6, 81, 84, 94, 0, False, 78
177, 6, 81, 85, 86, 0, False, 79
178, 6, 88, 89, 0, 0, False, 82
179, 6, 94, 0, 0, 0, True, 93
180, 7, 95, 0, 0, 0, False, 80
181, 7, 96, 0, 0, 0, False, 81
182, 7, 99, 0, 0, 0, False, 87
183, 7, 91, 99, 0, 0, False, 88
184, 7, 91, 100, 0, 0, False, 89
185, 7, 91, 100, 0, 0, False, 90
186, 8, 97, 0, 0, 0, True, 83
187, 8, 97, 0, 0, 0, True, 84
188, 8, 101, 0, 0, 0, True, 91
189, 8, 101, 0, 0, 0, True, 92
190, 8, 103, 0, 0, 0, False, 95
191, 8, 103, 0, 0, 0, False, 96
192, 8, 104, 0, 0, 0, False, 99
193, 8, 104, 0, 0, 0, False, 100
194, 9, 105, 0, 0, 0, True, 97
195, 9, 106, 0, 0, 0, True, 101
196, 9, 105, 0, 0, 0, False, 103
197, 9, 106, 0, 0, 0, False, 104
198, 10, 107, 107, 0, 0, True, 98
199, 10, 108, 108, 0, 0, True, 102
200, 10, 107, 0, 0, 0, False, 105
201, 10, 108, 0, 0, 0, False, 106
202, 11, 109, 0, 0, 0, False, 107
203, 11, 109, 0, 0, 0, False, 108
204, 12, 110, 0, 0, 0, False, 109
