节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 3, 4, 6, 7, False, 1
112, 0, 3, 4, 5, 6, False, 2
113, 1, 19, 0, 0, 0, False, 3
114, 1, 9, 19, 24, 0, False, 4
115, 1, 9, 20, 21, 0, False, 5
116, 1, 9, 19, 20, 21, False, 6
117, 1, 9, 19, 20, 21, True, 7
118, 1, 9, 19, 20, 21, True, 8
119, 1, 21, 22, 23, 25, True, 10
120, 1, 23, 24, 0, 0, False, 11
121, 1, 20, 23, 24, 25, False, 12
122, 1, 19, 20, 24, 25, False, 13
123, 1, 19, 20, 24, 25, False, 14
124, 1, 19, 21, 25, 0, True, 15
125, 1, 19, 20, 21, 22, True, 16
126, 1, 19, 21, 23, 26, True, 17
127, 1, 19, 20, 21, 23, True, 18
128, 2, 38, 0, 0, 0, True, 10
129, 2, 27, 37, 0, 0, False, 11
130, 2, 27, 37, 0, 0, False, 12
131, 2, 27, 28, 45, 0, True, 15
132, 2, 27, 28, 0, 0, True, 16
133, 2, 27, 28, 0, 0, True, 17
134, 2, 27, 0, 0, 0, False, 19
135, 2, 27, 0, 0, 0, False, 20
136, 2, 27, 37, 0, 0, True, 21
137, 2, 28, 37, 0, 0, True, 22
138, 2, 28, 38, 39, 0, False, 23
139, 2, 27, 28, 37, 39, False, 24
140, 2, 27, 28, 37, 38, True, 25
141, 2, 27, 28, 37, 39, True, 26
142, 2, 37, 40, 42, 44, False, 31
143, 2, 37, 39, 40, 41, False, 34
144, 2, 37, 38, 39, 41, False, 35
145, 2, 38, 39, 40, 41, False, 36
146, 3, 61, 0, 0, 0, True, 17
147, 3, 30, 0, 0, 0, False, 28
148, 3, 48, 50, 51, 0, False, 36
149, 3, 49, 50, 51, 0, True, 37
150, 3, 50, 51, 0, 0, True, 38
151, 3, 46, 47, 48, 50, False, 39
152, 3, 46, 0, 0, 0, True, 40
153, 3, 46, 47, 68, 0, False, 41
154, 3, 48, 0, 0, 0, False, 42
155, 3, 46, 48, 49, 0, False, 43
156, 3, 47, 49, 50, 0, False, 44
157, 3, 48, 49, 51, 60, True, 45
158, 3, 60, 63, 64, 67, False, 57
159, 3, 62, 63, 70, 0, False, 58
160, 3, 62, 64, 69, 70, False, 59
161, 4, 52, 0, 0, 0, True, 46
162, 4, 53, 0, 0, 0, False, 47
163, 4, 53, 54, 0, 0, False, 48
164, 4, 52, 53, 54, 0, False, 49
165, 4, 53, 54, 0, 0, False, 50
166, 4, 52, 54, 0, 0, True, 51
167, 4, 71, 73, 0, 0, False, 60
168, 4, 71, 73, 74, 0, False, 61
169, 4, 71, 72, 74, 75, False, 62
170, 4, 72, 74, 76, 0, False, 63
171, 4, 73, 75, 76, 0, False, 64
172, 4, 73, 74, 76, 0, False, 65
173, 4, 71, 72, 73, 74, False, 66
174, 4, 71, 73, 74, 75, False, 67
175, 4, 72, 73, 76, 0, False, 68
176, 4, 73, 74, 75, 76, False, 69
177, 4, 73, 74, 75, 76, False, 70
178, 5, 55, 0, 0, 0, True, 46
179, 5, 55, 0, 0, 0, True, 51
180, 5, 55, 0, 0, 0, True, 52
181, 5, 55, 0, 0, 0, False, 53
182, 5, 55, 0, 0, 0, False, 54
183, 5, 77, 0, 0, 0, False, 71
184, 5, 77, 78, 0, 0, False, 72
185, 5, 77, 78, 0, 0, False, 73
186, 5, 78, 0, 0, 0, False, 74
187, 5, 79, 0, 0, 0, False, 75
188, 5, 79, 0, 0, 0, False, 76
189, 6, 80, 83, 85, 88, False, 77
190, 6, 81, 84, 92, 94, False, 78
191, 6, 81, 85, 86, 0, False, 79
192, 7, 95, 0, 0, 0, False, 80
193, 7, 96, 0, 0, 0, False, 81
194, 7, 97, 0, 0, 0, True, 83
195, 7, 97, 0, 0, 0, True, 84
196, 7, 98, 0, 0, 0, True, 85
197, 7, 98, 0, 0, 0, True, 86
198, 7, 99, 0, 0, 0, False, 87
199, 7, 91, 99, 0, 0, False, 88
200, 7, 91, 100, 0, 0, False, 89
201, 7, 91, 100, 0, 0, False, 90
202, 7, 101, 0, 0, 0, True, 92
203, 7, 102, 0, 0, 0, True, 93
204, 7, 102, 0, 0, 0, True, 94
205, 8, 103, 0, 0, 0, False, 95
206, 8, 103, 0, 0, 0, False, 96
207, 8, 104, 0, 0, 0, False, 99
208, 8, 104, 0, 0, 0, False, 100
209, 9, 105, 0, 0, 0, True, 97
210, 9, 106, 0, 0, 0, True, 101
211, 9, 105, 0, 0, 0, False, 103
212, 9, 106, 0, 0, 0, False, 104
213, 10, 107, 0, 0, 0, True, 98
214, 10, 108, 0, 0, 0, True, 102
215, 10, 107, 0, 0, 0, False, 105
216, 10, 108, 0, 0, 0, False, 106
217, 11, 109, 0, 0, 0, False, 107
218, 11, 109, 0, 0, 0, False, 108
219, 12, 110, 0, 0, 0, False, 109
