节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 13, 14, 17, 0, False, 1
112, 0, 13, 14, 15, 17, False, 2
113, 0, 15, 16, 17, 19, False, 3
114, 0, 15, 16, 17, 19, False, 4
115, 0, 17, 18, 21, 0, False, 5
116, 0, 17, 18, 19, 21, False, 6
117, 0, 13, 14, 19, 20, False, 7
118, 0, 13, 14, 15, 19, False, 8
119, 0, 13, 14, 15, 16, False, 9
120, 0, 13, 14, 15, 17, False, 10
121, 0, 13, 15, 16, 17, True, 11
122, 0, 13, 14, 15, 17, True, 12
123, 1, 31, 32, 0, 0, False, 1
124, 1, 31, 33, 0, 0, False, 4
125, 1, 30, 34, 0, 0, False, 5
126, 1, 32, 34, 0, 0, False, 6
127, 1, 26, 29, 0, 0, False, 13
128, 1, 26, 27, 29, 32, False, 14
129, 1, 27, 28, 29, 31, False, 15
130, 1, 27, 28, 29, 30, False, 16
131, 1, 27, 28, 29, 31, False, 17
132, 1, 24, 29, 30, 33, False, 18
133, 1, 24, 29, 31, 32, False, 19
134, 1, 24, 26, 30, 31, False, 20
135, 1, 26, 27, 31, 33, False, 21
136, 1, 24, 28, 29, 31, False, 22
137, 1, 24, 26, 28, 29, False, 23
138, 1, 26, 27, 28, 29, True, 25
139, 2, 39, 40, 0, 0, True, 24
140, 2, 41, 42, 0, 0, True, 25
141, 2, 39, 41, 0, 0, False, 26
142, 2, 40, 41, 43, 0, True, 27
143, 2, 39, 40, 43, 44, True, 28
144, 2, 39, 41, 0, 0, False, 29
145, 2, 39, 41, 0, 0, False, 30
146, 2, 40, 42, 44, 0, False, 31
147, 2, 40, 42, 44, 0, False, 32
148, 2, 39, 41, 43, 0, False, 33
149, 2, 39, 40, 41, 43, False, 34
150, 2, 39, 41, 42, 44, False, 35
151, 2, 39, 40, 41, 42, False, 36
152, 2, 39, 40, 43, 0, True, 37
153, 2, 41, 43, 44, 0, True, 38
154, 2, 57, 58, 0, 0, True, 45
155, 2, 58, 59, 0, 0, True, 46
156, 3, 49, 50, 51, 0, True, 37
157, 3, 50, 51, 0, 0, True, 38
158, 3, 47, 48, 50, 68, False, 39
159, 3, 47, 68, 0, 0, False, 41
160, 3, 48, 0, 0, 0, False, 42
161, 3, 48, 49, 0, 0, False, 43
162, 3, 47, 49, 50, 0, False, 44
163, 3, 48, 49, 51, 60, True, 45
164, 3, 49, 49, 50, 50, True, 46
165, 3, 60, 63, 64, 67, False, 57
166, 3, 62, 63, 70, 0, False, 58
167, 3, 62, 64, 69, 70, False, 59
168, 4, 53, 0, 0, 0, False, 47
169, 4, 53, 54, 0, 0, False, 48
170, 4, 52, 53, 54, 0, False, 49
171, 4, 53, 54, 0, 0, False, 50
172, 4, 52, 54, 0, 0, True, 51
173, 4, 71, 73, 0, 0, False, 60
174, 4, 71, 73, 74, 0, False, 61
175, 4, 71, 72, 74, 75, False, 62
176, 4, 72, 74, 76, 0, False, 63
177, 4, 73, 75, 76, 0, False, 64
178, 4, 73, 74, 76, 0, False, 65
179, 4, 71, 72, 73, 74, False, 66
180, 4, 71, 73, 74, 75, False, 67
181, 4, 72, 73, 76, 0, False, 68
182, 4, 73, 74, 75, 76, False, 69
183, 4, 73, 74, 75, 76, False, 70
184, 5, 55, 0, 0, 0, True, 45
185, 5, 55, 0, 0, 0, True, 46
186, 5, 55, 0, 0, 0, True, 51
187, 5, 55, 0, 0, 0, True, 52
188, 5, 55, 0, 0, 0, False, 53
189, 5, 55, 0, 0, 0, False, 54
190, 5, 77, 0, 0, 0, False, 71
191, 5, 77, 78, 0, 0, False, 72
192, 5, 77, 78, 0, 0, False, 73
193, 5, 78, 0, 0, 0, False, 74
194, 5, 79, 0, 0, 0, False, 75
195, 5, 79, 0, 0, 0, False, 76
196, 6, 80, 84, 86, 0, False, 70
197, 6, 80, 83, 85, 88, False, 77
198, 6, 81, 84, 94, 0, False, 78
199, 6, 81, 85, 86, 0, False, 79
200, 6, 93, 0, 0, 0, True, 92
201, 6, 94, 94, 0, 0, True, 93
202, 7, 95, 0, 0, 0, False, 80
203, 7, 96, 0, 0, 0, False, 81
204, 7, 97, 0, 0, 0, True, 83
205, 7, 97, 0, 0, 0, True, 84
206, 7, 98, 0, 0, 0, True, 85
207, 7, 98, 0, 0, 0, True, 86
208, 7, 99, 0, 0, 0, False, 87
209, 7, 91, 99, 0, 0, False, 88
210, 7, 91, 100, 0, 0, False, 89
211, 7, 91, 100, 0, 0, False, 90
212, 7, 102, 102, 0, 0, True, 93
213, 7, 102, 0, 0, 0, True, 94
214, 8, 103, 0, 0, 0, False, 95
215, 8, 103, 0, 0, 0, False, 96
216, 8, 104, 0, 0, 0, False, 99
217, 8, 104, 0, 0, 0, False, 100
218, 9, 105, 0, 0, 0, True, 97
219, 9, 106, 0, 0, 0, True, 101
220, 9, 105, 0, 0, 0, False, 103
221, 9, 106, 0, 0, 0, False, 104
222, 10, 107, 0, 0, 0, True, 98
223, 10, 108, 0, 0, 0, True, 102
224, 10, 107, 0, 0, 0, False, 105
225, 10, 108, 0, 0, 0, False, 106
226, 11, 109, 0, 0, 0, False, 107
227, 11, 109, 0, 0, 0, False, 108
228, 12, 110, 0, 0, 0, False, 109
