节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 5, 6, 7, 8, False, 1
112, 0, 5, 6, 7, 8, False, 2
113, 0, 5, 6, 7, 8, False, 3
114, 0, 5, 6, 7, 8, False, 4
115, 1, 13, 14, 17, 0, False, 1
116, 1, 12, 13, 14, 15, False, 2
117, 1, 13, 15, 16, 17, False, 3
118, 1, 12, 14, 15, 16, False, 4
119, 1, 13, 15, 17, 18, True, 5
120, 1, 12, 14, 16, 17, True, 6
121, 1, 12, 13, 14, 17, True, 7
122, 1, 12, 13, 14, 15, False, 8
123, 1, 12, 13, 14, 15, False, 9
124, 1, 12, 13, 14, 15, False, 10
125, 1, 12, 13, 14, 15, False, 11
126, 3, 61, 0, 0, 0, False, 17
127, 3, 50, 60, 0, 0, False, 47
128, 3, 62, 63, 64, 65, False, 53
129, 3, 60, 61, 62, 64, False, 56
130, 3, 60, 63, 64, 67, False, 57
131, 4, 52, 0, 0, 0, False, 46
132, 4, 52, 0, 0, 0, False, 49
133, 4, 52, 0, 0, 0, True, 51
134, 4, 71, 73, 0, 0, False, 60
135, 4, 71, 73, 74, 0, False, 61
136, 4, 71, 72, 74, 75, False, 62
137, 4, 72, 74, 76, 0, False, 63
138, 4, 73, 75, 76, 0, False, 64
139, 4, 73, 74, 76, 0, False, 65
140, 4, 71, 72, 73, 74, False, 66
141, 4, 71, 73, 74, 75, False, 67
142, 4, 72, 73, 76, 0, False, 68
143, 4, 73, 74, 75, 76, False, 69
144, 4, 73, 74, 75, 76, False, 70
145, 5, 77, 0, 0, 0, False, 71
146, 5, 77, 78, 0, 0, False, 72
147, 5, 77, 78, 0, 0, False, 73
148, 5, 78, 0, 0, 0, False, 74
149, 5, 79, 0, 0, 0, False, 75
150, 5, 79, 0, 0, 0, False, 76
151, 6, 80, 84, 86, 0, False, 70
152, 6, 80, 83, 84, 0, False, 75
153, 6, 80, 83, 85, 88, False, 77
154, 6, 81, 84, 92, 94, False, 78
155, 6, 81, 85, 86, 0, False, 79
156, 6, 94, 0, 0, 0, True, 93
157, 7, 95, 0, 0, 0, False, 80
158, 7, 96, 0, 0, 0, False, 81
159, 7, 97, 0, 0, 0, True, 83
160, 7, 97, 0, 0, 0, True, 84
161, 7, 99, 0, 0, 0, False, 87
162, 7, 91, 99, 0, 0, False, 88
163, 7, 91, 100, 0, 0, False, 89
164, 7, 91, 100, 0, 0, False, 90
165, 7, 101, 0, 0, 0, True, 92
166, 8, 103, 0, 0, 0, False, 95
167, 8, 103, 0, 0, 0, False, 96
168, 8, 104, 0, 0, 0, False, 99
169, 8, 104, 0, 0, 0, False, 100
170, 9, 105, 0, 0, 0, True, 97
171, 9, 106, 0, 0, 0, True, 101
172, 9, 105, 0, 0, 0, False, 103
173, 9, 106, 0, 0, 0, False, 104
174, 10, 107, 107, 0, 0, True, 98
175, 10, 108, 108, 0, 0, True, 102
176, 10, 107, 0, 0, 0, False, 105
177, 10, 108, 0, 0, 0, False, 106
178, 11, 109, 0, 0, 0, False, 107
179, 11, 109, 0, 0, 0, False, 108
180, 12, 110, 0, 0, 0, False, 109
