节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 3, 4, 0, 0, False, 1
112, 0, 4, 0, 0, 0, False, 2
113, 1, 7, 31, 32, 0, False, 1
114, 1, 6, 7, 0, 0, False, 2
115, 1, 6, 0, 0, 0, False, 3
116, 1, 6, 7, 31, 33, False, 4
117, 1, 6, 7, 30, 34, True, 5
118, 1, 30, 31, 0, 0, False, 16
119, 2, 9, 10, 0, 0, False, 6
120, 2, 9, 10, 0, 0, False, 7
121, 2, 45, 0, 0, 0, False, 30
122, 2, 47, 0, 0, 0, False, 31
123, 2, 46, 47, 0, 0, False, 32
124, 2, 45, 47, 49, 0, False, 33
125, 2, 45, 47, 49, 0, False, 34
126, 2, 48, 50, 51, 0, False, 35
127, 2, 48, 50, 51, 0, False, 36
128, 2, 49, 50, 51, 52, False, 37
129, 2, 50, 51, 52, 0, False, 38
130, 2, 45, 50, 52, 0, False, 39
131, 2, 46, 52, 53, 56, False, 40
132, 2, 45, 46, 47, 53, False, 41
133, 2, 48, 53, 54, 55, False, 42
134, 2, 46, 48, 54, 56, False, 43
135, 2, 47, 49, 54, 56, False, 44
136, 3, 11, 12, 21, 22, False, 9
137, 3, 11, 12, 21, 22, False, 10
138, 3, 18, 19, 21, 0, False, 15
139, 3, 18, 19, 20, 21, False, 16
140, 3, 60, 0, 0, 0, False, 45
141, 3, 61, 0, 0, 0, False, 46
142, 3, 60, 0, 0, 0, False, 47
143, 3, 60, 61, 63, 0, False, 48
144, 3, 61, 62, 63, 69, False, 49
145, 3, 60, 62, 63, 64, False, 50
146, 3, 61, 62, 64, 65, False, 51
147, 3, 61, 63, 64, 66, False, 52
148, 3, 62, 63, 64, 65, False, 53
149, 3, 60, 66, 67, 68, False, 54
150, 3, 65, 66, 67, 68, False, 55
151, 3, 60, 61, 62, 64, False, 56
152, 3, 60, 63, 64, 67, False, 57
153, 3, 62, 63, 70, 0, False, 58
154, 3, 62, 64, 69, 70, False, 59
155, 4, 24, 0, 0, 0, False, 12
156, 4, 24, 0, 0, 0, False, 18
157, 4, 24, 0, 0, 0, False, 19
158, 4, 24, 0, 0, 0, False, 20
159, 4, 24, 0, 0, 0, False, 22
160, 4, 71, 73, 0, 0, False, 60
161, 4, 71, 73, 74, 0, False, 61
162, 4, 71, 72, 74, 75, False, 62
163, 4, 72, 74, 76, 0, False, 63
164, 4, 73, 75, 76, 0, False, 64
165, 4, 73, 74, 76, 0, False, 65
166, 4, 71, 72, 73, 74, False, 66
167, 4, 71, 73, 74, 75, False, 67
168, 4, 72, 73, 76, 0, False, 68
169, 4, 73, 74, 75, 76, False, 69
170, 4, 73, 74, 75, 76, False, 70
171, 5, 77, 78, 0, 0, False, 67
172, 5, 77, 0, 0, 0, False, 71
173, 5, 77, 78, 0, 0, False, 72
174, 5, 77, 78, 0, 0, False, 73
175, 5, 78, 0, 0, 0, False, 74
176, 5, 79, 0, 0, 0, False, 75
177, 5, 79, 0, 0, 0, False, 76
178, 6, 80, 84, 86, 0, False, 70
179, 6, 80, 83, 84, 0, False, 75
180, 6, 80, 83, 85, 88, False, 77
181, 6, 81, 84, 94, 0, False, 78
182, 6, 81, 85, 86, 0, False, 79
183, 7, 95, 0, 0, 0, False, 80
184, 7, 96, 0, 0, 0, False, 81
185, 7, 97, 0, 0, 0, True, 83
186, 7, 97, 0, 0, 0, True, 84
187, 7, 99, 0, 0, 0, False, 87
188, 7, 91, 99, 0, 0, False, 88
189, 7, 91, 100, 0, 0, False, 89
190, 7, 91, 100, 0, 0, False, 90
191, 7, 101, 0, 0, 0, True, 92
192, 8, 103, 0, 0, 0, False, 95
193, 8, 103, 0, 0, 0, False, 96
194, 8, 104, 0, 0, 0, False, 99
195, 8, 104, 0, 0, 0, False, 100
196, 9, 105, 0, 0, 0, True, 97
197, 9, 106, 0, 0, 0, True, 101
198, 9, 105, 0, 0, 0, False, 103
199, 9, 106, 0, 0, 0, False, 104
200, 10, 107, 107, 0, 0, True, 98
201, 10, 108, 108, 0, 0, True, 102
202, 10, 107, 0, 0, 0, False, 105
203, 10, 108, 0, 0, 0, False, 106
204, 11, 109, 0, 0, 0, False, 107
205, 11, 109, 0, 0, 0, False, 108
206, 12, 110, 0, 0, 0, False, 109
