节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 3, 4, 0, 0, False, 1
112, 1, 5, 6, 7, 8, False, 1
113, 1, 5, 6, 7, 0, True, 2
114, 1, 5, 6, 7, 8, False, 3
115, 1, 5, 6, 7, 8, False, 4
116, 2, 57, 58, 0, 0, True, 45
117, 2, 58, 59, 0, 0, True, 52
118, 3, 11, 11, 0, 0, True, 2
119, 3, 11, 0, 0, 0, True, 5
120, 3, 11, 0, 0, 0, True, 6
121, 3, 11, 0, 0, 0, False, 7
122, 3, 47, 62, 0, 0, False, 31
123, 3, 47, 0, 0, 0, False, 32
124, 3, 47, 49, 0, 0, False, 33
125, 3, 48, 50, 51, 0, False, 35
126, 3, 49, 50, 51, 0, False, 37
127, 3, 48, 0, 0, 0, False, 42
128, 3, 48, 49, 0, 0, False, 43
129, 3, 49, 50, 51, 61, True, 46
130, 3, 61, 63, 64, 66, True, 52
131, 3, 60, 63, 64, 67, False, 57
132, 3, 62, 63, 70, 0, False, 58
133, 3, 62, 64, 69, 70, False, 59
134, 4, 12, 0, 0, 0, True, 2
135, 4, 12, 0, 0, 0, True, 6
136, 4, 12, 0, 0, 0, False, 11
137, 4, 53, 0, 0, 0, False, 47
138, 4, 53, 54, 0, 0, False, 48
139, 4, 53, 54, 0, 0, False, 49
140, 4, 53, 54, 0, 0, False, 50
141, 4, 54, 0, 0, 0, True, 51
142, 4, 72, 74, 0, 0, True, 52
143, 4, 71, 73, 0, 0, False, 60
144, 4, 71, 73, 74, 0, False, 61
145, 4, 71, 72, 74, 75, False, 62
146, 4, 72, 74, 76, 0, False, 63
147, 4, 73, 75, 76, 0, False, 64
148, 4, 73, 74, 76, 0, False, 65
149, 4, 71, 72, 73, 74, False, 66
150, 4, 71, 73, 74, 75, False, 67
151, 4, 72, 73, 76, 0, False, 68
152, 4, 73, 74, 75, 76, False, 69
153, 4, 73, 74, 75, 76, False, 70
154, 5, 13, 13, 13, 14, True, 2
155, 5, 9, 10, 0, 0, True, 6
156, 5, 13, 14, 15, 0, False, 12
157, 5, 55, 0, 0, 0, True, 45
158, 5, 55, 0, 0, 0, True, 46
159, 5, 55, 0, 0, 0, True, 51
160, 5, 55, 0, 0, 0, True, 52
161, 5, 55, 0, 0, 0, False, 53
162, 5, 55, 0, 0, 0, False, 54
163, 5, 79, 0, 0, 0, False, 70
164, 5, 77, 0, 0, 0, False, 71
165, 5, 77, 78, 0, 0, False, 72
166, 5, 77, 78, 0, 0, False, 73
167, 5, 78, 0, 0, 0, False, 74
168, 5, 79, 0, 0, 0, False, 75
169, 5, 79, 0, 0, 0, False, 76
170, 6, 80, 83, 85, 88, False, 77
171, 6, 81, 84, 94, 0, False, 78
172, 6, 81, 85, 86, 0, False, 79
173, 6, 94, 0, 0, 0, True, 93
174, 7, 95, 0, 0, 0, False, 80
175, 7, 96, 0, 0, 0, False, 81
176, 7, 97, 0, 0, 0, True, 83
177, 7, 97, 0, 0, 0, True, 84
178, 7, 99, 0, 0, 0, False, 87
179, 7, 91, 99, 0, 0, False, 88
180, 7, 91, 100, 0, 0, False, 89
181, 7, 91, 100, 0, 0, False, 90
182, 8, 101, 0, 0, 0, True, 91
183, 8, 101, 0, 0, 0, True, 92
184, 8, 103, 0, 0, 0, False, 95
185, 8, 103, 0, 0, 0, False, 96
186, 8, 104, 0, 0, 0, False, 99
187, 8, 104, 0, 0, 0, False, 100
188, 9, 105, 0, 0, 0, True, 97
189, 9, 106, 0, 0, 0, True, 101
190, 9, 105, 0, 0, 0, False, 103
191, 9, 106, 0, 0, 0, False, 104
192, 10, 107, 107, 0, 0, True, 98
193, 10, 108, 108, 0, 0, True, 102
194, 10, 107, 0, 0, 0, False, 105
195, 10, 108, 0, 0, 0, False, 106
196, 11, 109, 0, 0, 0, False, 107
197, 11, 109, 0, 0, 0, False, 108
198, 12, 110, 0, 0, 0, False, 109
