节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 4, 0, 0, 0, False, 1
112, 0, 4, 5, 6, 0, False, 2
113, 0, 4, 5, 6, 0, False, 3
114, 1, 7, 31, 32, 0, False, 1
115, 1, 7, 0, 0, 0, False, 2
116, 1, 8, 0, 0, 0, False, 3
117, 1, 7, 8, 9, 10, False, 4
118, 1, 7, 8, 9, 10, False, 5
119, 1, 7, 8, 9, 10, False, 6
120, 2, 12, 13, 14, 0, False, 7
121, 2, 12, 13, 14, 15, False, 8
122, 2, 12, 13, 14, 15, False, 9
123, 2, 12, 13, 14, 15, False, 10
124, 2, 12, 13, 15, 16, False, 11
125, 2, 45, 0, 0, 0, False, 30
126, 2, 47, 0, 0, 0, False, 31
127, 2, 46, 47, 0, 0, False, 32
128, 2, 45, 47, 49, 0, False, 33
129, 2, 45, 47, 49, 0, False, 34
130, 2, 48, 50, 51, 0, False, 35
131, 2, 48, 50, 51, 0, False, 36
132, 2, 49, 50, 51, 52, False, 37
133, 2, 50, 51, 52, 0, False, 38
134, 2, 45, 50, 52, 0, False, 39
135, 2, 46, 52, 53, 56, False, 40
136, 2, 45, 46, 47, 53, False, 41
137, 2, 48, 53, 54, 55, False, 42
138, 2, 46, 48, 54, 56, False, 43
139, 2, 47, 49, 54, 56, False, 44
140, 3, 18, 20, 23, 0, False, 12
141, 3, 18, 19, 20, 0, False, 13
142, 3, 19, 20, 0, 0, False, 14
143, 3, 18, 19, 21, 0, False, 15
144, 3, 18, 19, 20, 21, False, 16
145, 3, 19, 21, 23, 61, False, 17
146, 3, 60, 0, 0, 0, False, 45
147, 3, 61, 0, 0, 0, False, 46
148, 3, 60, 0, 0, 0, False, 47
149, 3, 60, 61, 63, 0, False, 48
150, 3, 61, 62, 63, 69, False, 49
151, 3, 60, 62, 63, 64, False, 50
152, 3, 61, 62, 64, 65, False, 51
153, 3, 61, 63, 64, 66, False, 52
154, 3, 62, 63, 64, 65, False, 53
155, 3, 60, 66, 67, 68, False, 54
156, 3, 65, 66, 67, 68, False, 55
157, 3, 60, 61, 62, 64, False, 56
158, 3, 60, 63, 64, 67, False, 57
159, 3, 62, 63, 70, 0, False, 58
160, 3, 62, 64, 69, 70, False, 59
161, 4, 24, 0, 0, 0, False, 18
162, 4, 24, 0, 0, 0, False, 19
163, 4, 24, 0, 0, 0, False, 20
164, 4, 24, 0, 0, 0, False, 22
165, 4, 71, 73, 0, 0, False, 60
166, 4, 71, 73, 74, 0, False, 61
167, 4, 71, 72, 74, 75, False, 62
168, 4, 72, 74, 76, 0, False, 63
169, 4, 73, 75, 76, 0, False, 64
170, 4, 73, 74, 76, 0, False, 65
171, 4, 71, 72, 73, 74, False, 66
172, 4, 71, 73, 74, 75, False, 67
173, 4, 72, 73, 76, 0, False, 68
174, 4, 73, 74, 75, 76, False, 69
175, 4, 73, 74, 75, 76, False, 70
176, 5, 77, 0, 0, 0, False, 71
177, 5, 77, 78, 0, 0, False, 72
178, 5, 77, 78, 0, 0, False, 73
179, 5, 78, 0, 0, 0, False, 74
180, 5, 79, 0, 0, 0, False, 75
181, 5, 79, 0, 0, 0, False, 76
182, 6, 80, 83, 85, 88, False, 77
183, 6, 81, 84, 94, 0, False, 78
184, 6, 81, 85, 86, 0, False, 79
185, 7, 95, 0, 0, 0, False, 80
186, 7, 96, 0, 0, 0, False, 81
187, 7, 97, 0, 0, 0, True, 83
188, 7, 97, 0, 0, 0, True, 84
189, 7, 98, 0, 0, 0, True, 85
190, 7, 98, 0, 0, 0, True, 86
191, 7, 99, 0, 0, 0, False, 87
192, 7, 91, 99, 0, 0, False, 88
193, 7, 91, 100, 0, 0, False, 89
194, 7, 91, 100, 0, 0, False, 90
195, 7, 101, 0, 0, 0, True, 92
196, 8, 103, 0, 0, 0, False, 95
197, 8, 103, 0, 0, 0, False, 96
198, 8, 104, 0, 0, 0, False, 99
199, 8, 104, 0, 0, 0, False, 100
200, 9, 105, 0, 0, 0, True, 97
201, 9, 106, 0, 0, 0, True, 101
202, 9, 105, 0, 0, 0, False, 103
203, 9, 106, 0, 0, 0, False, 104
204, 10, 107, 0, 0, 0, True, 98
205, 10, 108, 108, 0, 0, True, 102
206, 10, 107, 0, 0, 0, False, 105
207, 10, 108, 0, 0, 0, False, 106
208, 11, 109, 0, 0, 0, False, 107
209, 11, 109, 0, 0, 0, False, 108
210, 12, 110, 0, 0, 0, False, 109
