节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 3, 4, 0, 0, False, 1
112, 0, 4, 0, 0, 0, False, 2
113, 0, 23, 0, 0, 0, True, 7
114, 0, 22, 25, 0, 0, True, 10
115, 0, 25, 26, 0, 0, False, 13
116, 1, 31, 32, 0, 0, False, 1
117, 1, 5, 6, 0, 0, False, 2
118, 1, 5, 6, 0, 0, False, 3
119, 1, 5, 6, 31, 33, False, 4
120, 1, 29, 33, 0, 0, True, 7
121, 1, 35, 36, 38, 0, True, 10
122, 1, 31, 33, 36, 37, False, 21
123, 1, 29, 31, 33, 34, False, 22
124, 1, 32, 33, 35, 38, False, 23
125, 1, 29, 32, 35, 36, False, 24
126, 1, 29, 33, 37, 41, False, 25
127, 1, 30, 31, 32, 33, False, 26
128, 1, 33, 34, 38, 40, False, 27
129, 1, 29, 33, 35, 38, False, 28
130, 2, 8, 9, 0, 0, False, 5
131, 2, 8, 9, 0, 0, False, 6
132, 2, 45, 46, 0, 0, False, 29
133, 2, 45, 0, 0, 0, False, 30
134, 2, 47, 0, 0, 0, False, 31
135, 2, 46, 47, 0, 0, False, 32
136, 2, 45, 47, 49, 0, False, 33
137, 2, 45, 47, 49, 0, False, 34
138, 2, 48, 50, 51, 0, False, 35
139, 2, 48, 50, 51, 0, False, 36
140, 2, 49, 50, 51, 52, False, 37
141, 2, 50, 51, 52, 0, False, 38
142, 2, 45, 50, 52, 0, False, 39
143, 2, 46, 52, 53, 56, False, 40
144, 2, 45, 46, 47, 53, False, 41
145, 2, 48, 53, 54, 55, False, 42
146, 2, 46, 48, 54, 56, False, 43
147, 2, 47, 49, 54, 56, False, 44
148, 3, 11, 12, 14, 0, False, 8
149, 3, 11, 12, 14, 0, False, 9
150, 3, 60, 0, 0, 0, False, 45
151, 3, 61, 0, 0, 0, False, 46
152, 3, 60, 0, 0, 0, False, 47
153, 3, 60, 61, 63, 0, False, 48
154, 3, 61, 62, 63, 69, False, 49
155, 3, 60, 62, 63, 64, False, 50
156, 3, 61, 62, 64, 65, False, 51
157, 3, 61, 63, 64, 66, False, 52
158, 3, 62, 63, 64, 65, False, 53
159, 3, 60, 66, 67, 68, False, 54
160, 3, 65, 66, 67, 68, False, 55
161, 3, 60, 61, 62, 64, False, 56
162, 3, 60, 63, 64, 67, False, 57
163, 3, 62, 63, 70, 0, False, 58
164, 3, 62, 64, 69, 70, False, 59
165, 4, 15, 0, 0, 0, False, 3
166, 4, 15, 16, 0, 0, False, 11
167, 4, 15, 0, 0, 0, False, 12
168, 4, 71, 73, 0, 0, False, 60
169, 4, 71, 73, 74, 0, False, 61
170, 4, 71, 72, 74, 75, False, 62
171, 4, 72, 74, 76, 0, False, 63
172, 4, 73, 75, 76, 0, False, 64
173, 4, 73, 74, 76, 0, False, 65
174, 4, 71, 72, 73, 74, False, 66
175, 4, 71, 73, 74, 75, False, 67
176, 4, 72, 73, 76, 0, False, 68
177, 4, 73, 74, 75, 76, False, 69
178, 4, 73, 74, 75, 76, False, 70
179, 5, 77, 0, 0, 0, False, 71
180, 5, 77, 78, 0, 0, False, 72
181, 5, 77, 78, 0, 0, False, 73
182, 5, 78, 0, 0, 0, False, 74
183, 5, 79, 0, 0, 0, False, 75
184, 5, 79, 0, 0, 0, False, 76
185, 6, 80, 83, 85, 88, False, 77
186, 6, 81, 84, 94, 0, False, 78
187, 6, 81, 85, 86, 0, False, 79
188, 7, 95, 0, 0, 0, False, 80
189, 7, 96, 0, 0, 0, False, 81
190, 7, 97, 0, 0, 0, True, 83
191, 7, 97, 0, 0, 0, True, 84
192, 7, 98, 0, 0, 0, True, 85
193, 7, 98, 0, 0, 0, True, 86
194, 7, 99, 0, 0, 0, False, 87
195, 7, 91, 99, 0, 0, False, 88
196, 7, 91, 100, 0, 0, False, 89
197, 7, 91, 100, 0, 0, False, 90
198, 7, 101, 0, 0, 0, True, 92
199, 8, 103, 0, 0, 0, False, 95
200, 8, 103, 0, 0, 0, False, 96
201, 8, 104, 0, 0, 0, False, 99
202, 8, 104, 0, 0, 0, False, 100
203, 9, 105, 0, 0, 0, True, 97
204, 9, 106, 0, 0, 0, True, 101
205, 9, 105, 0, 0, 0, False, 103
206, 9, 106, 0, 0, 0, False, 104
207, 10, 107, 0, 0, 0, True, 98
208, 10, 108, 108, 0, 0, True, 102
209, 10, 107, 0, 0, 0, False, 105
210, 10, 108, 0, 0, 0, False, 106
211, 11, 109, 0, 0, 0, False, 107
212, 11, 109, 0, 0, 0, False, 108
213, 12, 110, 0, 0, 0, False, 109
