节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 7, 0, 0, 0, False, 1
112, 0, 7, 0, 0, 0, False, 2
113, 0, 7, 0, 0, 0, False, 3
114, 0, 7, 0, 0, 0, False, 4
115, 0, 7, 0, 0, 0, False, 5
116, 0, 7, 0, 0, 0, False, 6
117, 1, 10, 13, 14, 0, False, 1
118, 1, 10, 11, 12, 13, False, 2
119, 1, 10, 11, 13, 0, False, 3
120, 1, 10, 11, 12, 14, False, 4
121, 1, 10, 11, 12, 13, False, 5
122, 1, 10, 11, 12, 14, False, 6
123, 1, 10, 11, 12, 13, True, 7
124, 1, 10, 11, 12, 13, True, 8
125, 1, 10, 11, 12, 13, True, 9
126, 2, 15, 16, 17, 0, False, 2
127, 2, 15, 16, 17, 0, False, 3
128, 2, 15, 16, 17, 0, False, 4
129, 2, 15, 17, 0, 0, False, 5
130, 2, 17, 0, 0, 0, True, 7
131, 2, 15, 0, 0, 0, True, 8
132, 2, 15, 16, 0, 0, True, 9
133, 2, 15, 17, 0, 0, False, 10
134, 2, 15, 16, 17, 0, False, 11
135, 2, 15, 16, 17, 0, False, 12
136, 2, 15, 16, 17, 0, False, 13
137, 2, 15, 16, 17, 0, False, 14
138, 2, 16, 17, 0, 0, False, 15
139, 2, 17, 0, 0, 0, False, 16
140, 2, 57, 0, 0, 0, True, 51
141, 2, 58, 59, 0, 0, True, 52
142, 3, 19, 0, 0, 0, False, 3
143, 3, 19, 24, 0, 0, False, 4
144, 3, 18, 20, 21, 22, False, 5
145, 3, 19, 20, 21, 23, True, 7
146, 3, 18, 18, 19, 19, True, 8
147, 3, 19, 19, 21, 21, True, 9
148, 3, 18, 19, 20, 23, False, 11
149, 3, 18, 19, 20, 21, False, 14
150, 3, 18, 19, 20, 21, False, 15
151, 3, 18, 19, 20, 21, False, 16
152, 3, 18, 19, 20, 21, False, 17
153, 3, 24, 0, 0, 0, True, 23
154, 3, 51, 60, 0, 0, False, 45
155, 3, 60, 62, 63, 64, False, 50
156, 3, 61, 62, 64, 65, True, 51
157, 3, 61, 63, 64, 66, True, 52
158, 3, 62, 63, 64, 65, False, 53
159, 3, 60, 66, 67, 68, False, 54
160, 3, 60, 63, 64, 67, False, 57
161, 3, 62, 63, 70, 0, False, 58
162, 3, 62, 64, 69, 70, False, 59
163, 4, 22, 26, 0, 0, False, 5
164, 4, 22, 23, 39, 0, True, 8
165, 4, 22, 28, 40, 0, True, 9
166, 4, 22, 23, 26, 27, False, 16
167, 4, 22, 23, 26, 27, False, 18
168, 4, 22, 23, 26, 27, False, 19
169, 4, 22, 23, 26, 27, False, 20
170, 4, 22, 23, 26, 27, False, 21
171, 4, 23, 26, 28, 29, True, 22
172, 4, 26, 27, 28, 29, True, 23
173, 4, 26, 27, 28, 29, False, 24
174, 4, 26, 27, 28, 29, True, 25
175, 4, 28, 29, 40, 41, False, 27
176, 4, 29, 29, 39, 39, True, 28
177, 4, 39, 41, 0, 0, True, 29
178, 4, 40, 42, 0, 0, True, 32
179, 4, 39, 41, 0, 0, False, 33
180, 4, 39, 40, 41, 0, False, 34
181, 4, 39, 41, 42, 51, False, 35
182, 4, 39, 40, 41, 42, False, 36
183, 4, 42, 52, 53, 0, False, 40
184, 4, 53, 0, 0, 0, False, 47
185, 4, 53, 54, 0, 0, False, 50
186, 4, 52, 54, 0, 0, True, 51
187, 4, 72, 74, 0, 0, True, 52
188, 4, 71, 73, 0, 0, False, 60
189, 4, 71, 73, 74, 0, False, 61
190, 4, 71, 72, 74, 75, False, 62
191, 4, 72, 74, 76, 0, False, 63
192, 4, 73, 75, 76, 0, False, 64
193, 4, 73, 74, 76, 0, False, 65
194, 4, 71, 72, 73, 74, False, 66
195, 4, 71, 73, 74, 75, False, 67
196, 4, 72, 73, 76, 0, False, 68
197, 4, 73, 74, 75, 76, False, 69
198, 4, 73, 74, 75, 76, False, 70
199, 5, 31, 37, 0, 0, False, 3
200, 5, 28, 0, 0, 0, True, 9
201, 5, 28, 28, 29, 29, True, 22
202, 5, 28, 28, 29, 29, True, 23
203, 5, 28, 29, 30, 32, True, 25
204, 5, 28, 29, 30, 31, False, 26
205, 5, 28, 29, 30, 31, False, 27
206, 5, 29, 30, 31, 32, True, 28
207, 5, 30, 31, 32, 35, True, 29
208, 5, 32, 35, 36, 37, False, 31
