节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 3, 4, 5, 0, False, 1
112, 0, 3, 4, 5, 0, False, 2
113, 1, 6, 7, 8, 0, False, 1
114, 1, 6, 7, 8, 0, False, 2
115, 1, 6, 7, 8, 0, True, 3
116, 1, 6, 7, 8, 0, True, 4
117, 1, 6, 7, 8, 0, False, 5
118, 2, 10, 11, 0, 0, False, 2
119, 2, 9, 10, 11, 0, True, 3
120, 2, 9, 10, 11, 0, True, 4
121, 2, 9, 10, 11, 0, False, 6
122, 2, 9, 10, 11, 0, True, 7
123, 2, 9, 10, 11, 0, False, 8
124, 2, 57, 0, 0, 0, False, 44
125, 2, 57, 0, 0, 0, True, 51
126, 2, 58, 59, 0, 0, True, 52
127, 2, 57, 58, 0, 0, False, 53
128, 3, 15, 0, 0, 0, True, 3
129, 3, 12, 15, 0, 0, True, 4
130, 3, 12, 0, 0, 0, True, 7
131, 3, 12, 15, 0, 0, False, 9
132, 3, 12, 15, 0, 0, True, 10
133, 3, 12, 15, 0, 0, False, 11
134, 3, 15, 0, 0, 0, True, 13
135, 3, 15, 0, 0, 0, True, 14
136, 3, 51, 60, 61, 63, False, 48
137, 3, 61, 62, 64, 65, True, 51
138, 3, 61, 63, 64, 66, True, 52
139, 3, 60, 61, 62, 64, False, 56
140, 3, 60, 63, 64, 67, False, 57
141, 3, 62, 63, 70, 0, False, 58
142, 3, 62, 64, 69, 70, False, 59
143, 4, 13, 16, 17, 0, True, 3
144, 4, 14, 16, 17, 33, True, 4
145, 4, 13, 14, 17, 33, True, 7
146, 4, 13, 14, 17, 18, True, 10
147, 4, 13, 14, 16, 17, False, 12
148, 4, 16, 17, 18, 0, True, 14
149, 4, 16, 17, 18, 0, False, 15
150, 4, 18, 33, 0, 0, True, 17
151, 4, 33, 41, 0, 0, True, 20
152, 4, 33, 39, 0, 0, True, 23
153, 4, 33, 41, 42, 0, False, 25
154, 4, 33, 34, 40, 41, False, 27
155, 4, 33, 34, 39, 41, False, 30
156, 4, 33, 34, 40, 42, False, 31
157, 4, 33, 34, 40, 42, False, 32
158, 4, 39, 41, 42, 51, False, 35
159, 4, 41, 42, 52, 0, False, 39
160, 4, 54, 0, 0, 0, False, 43
161, 4, 53, 0, 0, 0, False, 47
162, 4, 51, 53, 54, 0, False, 48
163, 4, 52, 53, 54, 0, False, 49
164, 4, 53, 54, 0, 0, False, 50
165, 4, 52, 54, 0, 0, True, 51
166, 4, 72, 74, 0, 0, True, 52
167, 4, 71, 73, 0, 0, False, 60
168, 4, 71, 73, 74, 0, False, 61
169, 4, 71, 72, 74, 75, False, 62
170, 4, 72, 74, 76, 0, False, 63
171, 4, 73, 75, 76, 0, False, 64
172, 4, 73, 74, 76, 0, False, 65
173, 4, 71, 72, 73, 74, False, 66
174, 4, 71, 73, 74, 75, False, 67
175, 4, 72, 73, 76, 0, False, 68
176, 4, 73, 74, 75, 76, False, 69
177, 4, 73, 74, 75, 76, False, 70
178, 5, 19, 37, 0, 0, True, 3
179, 5, 19, 0, 0, 0, True, 4
180, 5, 19, 19, 20, 20, True, 13
181, 5, 19, 19, 20, 20, True, 14
182, 5, 19, 20, 21, 36, False, 16
183, 5, 19, 20, 21, 0, True, 17
184, 5, 19, 20, 21, 0, False, 18
185, 5, 21, 35, 0, 0, True, 20
186, 5, 36, 37, 0, 0, False, 21
187, 5, 35, 37, 38, 0, False, 22
188, 5, 35, 36, 38, 0, True, 23
189, 5, 37, 38, 0, 0, False, 25
190, 5, 37, 0, 0, 0, False, 26
191, 5, 38, 43, 0, 0, False, 27
192, 5, 35, 36, 38, 45, False, 30
193, 5, 35, 36, 38, 43, False, 33
194, 5, 35, 36, 37, 38, False, 34
195, 5, 44, 45, 52, 0, False, 39
196, 5, 43, 44, 52, 0, False, 40
197, 5, 43, 45, 0, 0, False, 41
198, 5, 43, 55, 0, 0, False, 42
199, 5, 52, 55, 0, 0, True, 51
200, 5, 55, 0, 0, 0, True, 52
201, 5, 55, 0, 0, 0, False, 53
202, 5, 55, 0, 0, 0, False, 54
203, 5, 77, 0, 0, 0, False, 71
204, 5, 77, 78, 0, 0, False, 72
205, 5, 77, 78, 0, 0, False, 73
206, 5, 78, 0, 0, 0, False, 74
207, 5, 79, 0, 0, 0, False, 75
208, 5, 79, 0, 0, 0, False, 76
209, 6, 24, 0, 0, 0, True, 4
210, 6, 20, 23, 0, 0, True, 7
211, 6, 20, 22, 24, 0, True, 13
212, 6, 20, 22, 23, 24, True, 14
213, 6, 20, 23, 24, 0, False, 15
214, 6, 20, 22, 23, 0, True, 17
215, 6, 20, 22, 23, 24, False, 19
216, 6, 22, 23, 24, 0, True, 20
217, 6, 22, 23, 24, 0, False, 21
218, 6, 23, 24, 0, 0, False, 22
219, 6, 24, 0, 0, 0, True, 23
220, 6, 80, 83, 85, 88, False, 77
221, 6, 81, 84, 94, 0, False, 78
222, 6, 81, 85, 86, 0, False, 79
223, 6, 88, 89, 0, 0, False, 82
224, 7, 95, 0, 0, 0, False, 80
225, 7, 96, 0, 0, 0, False, 81
226, 7, 99, 0, 0, 0, False, 87
227, 7, 91, 99, 0, 0, False, 88
228, 7, 91, 100, 0, 0, False, 89
229, 7, 91, 100, 0, 0, False, 90
230, 8, 97, 0, 0, 0, True, 83
231, 8, 97, 0, 0, 0, True, 84
232, 8, 93, 101, 0, 0, True, 91
233, 8, 93, 101, 0, 0, True, 92
234, 8, 103, 0, 0, 0, False, 95
235, 8, 103, 0, 0, 0, False, 96
236, 8, 104, 0, 0, 0, False, 99
237, 8, 104, 0, 0, 0, False, 100
238, 9, 105, 0, 0, 0, True, 97
239, 9, 106, 0, 0, 0, True, 101
240, 9, 105, 0, 0, 0, False, 103
241, 9, 106, 0, 0, 0, False, 104
242, 10, 107, 107, 0, 0, True, 98
243, 10, 108, 108, 0, 0, True, 102
244, 10, 107, 0, 0, 0, False, 105
245, 10, 108, 0, 0, 0, False, 106
246, 11, 109, 0, 0, 0, False, 107
247, 11, 109, 0, 0, 0, False, 108
248, 12, 110, 0, 0, 0, False, 109
