节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 4, 0, 0, 0, False, 1
112, 0, 4, 5, 0, 0, False, 2
113, 0, 4, 5, 0, 0, False, 3
114, 1, 7, 31, 32, 0, False, 1
115, 1, 6, 7, 0, 0, False, 2
116, 1, 6, 8, 0, 0, False, 3
117, 1, 6, 7, 8, 9, True, 4
118, 1, 6, 7, 8, 9, False, 5
119, 1, 7, 8, 9, 10, True, 6
120, 2, 13, 14, 17, 0, False, 1
121, 2, 6, 13, 14, 15, False, 2
122, 2, 6, 15, 16, 17, False, 3
123, 2, 6, 15, 16, 17, True, 4
124, 2, 12, 12, 17, 17, True, 6
125, 2, 12, 13, 14, 0, False, 7
126, 2, 12, 13, 14, 15, False, 8
127, 2, 12, 13, 14, 15, False, 9
128, 2, 12, 13, 14, 15, False, 10
129, 2, 12, 13, 15, 16, False, 11
130, 2, 39, 40, 0, 0, False, 24
131, 2, 38, 40, 41, 43, False, 27
132, 2, 38, 39, 40, 43, False, 28
133, 2, 38, 39, 41, 45, False, 30
134, 2, 40, 42, 44, 0, False, 31
135, 2, 38, 40, 42, 44, False, 32
136, 2, 38, 39, 41, 43, False, 33
137, 2, 39, 40, 41, 43, False, 34
138, 2, 38, 39, 41, 42, False, 35
139, 2, 38, 39, 40, 41, False, 36
140, 2, 39, 40, 43, 45, True, 37
141, 2, 58, 59, 0, 0, True, 46
142, 3, 19, 0, 0, 0, True, 4
143, 3, 18, 18, 19, 19, True, 6
144, 3, 18, 20, 23, 0, False, 12
145, 3, 18, 19, 20, 0, False, 13
146, 3, 19, 20, 0, 0, False, 14
147, 3, 18, 19, 21, 0, False, 15
148, 3, 18, 19, 20, 21, False, 16
149, 3, 18, 19, 21, 23, False, 17
150, 3, 19, 20, 21, 23, False, 18
151, 3, 50, 51, 0, 0, True, 38
152, 3, 47, 48, 50, 68, False, 39
153, 3, 47, 68, 0, 0, False, 41
154, 3, 48, 0, 0, 0, False, 42
155, 3, 48, 49, 0, 0, False, 43
156, 3, 47, 49, 50, 0, False, 44
157, 3, 48, 49, 51, 60, True, 45
158, 3, 49, 49, 50, 50, True, 46
159, 3, 60, 63, 64, 67, False, 57
160, 3, 62, 63, 70, 0, False, 58
161, 3, 62, 64, 69, 70, False, 59
162, 4, 52, 0, 0, 0, True, 37
163, 4, 52, 0, 0, 0, True, 46
164, 4, 53, 0, 0, 0, False, 47
165, 4, 53, 54, 0, 0, False, 48
166, 4, 52, 53, 54, 0, False, 49
167, 4, 53, 54, 0, 0, False, 50
168, 4, 52, 54, 0, 0, True, 51
169, 4, 71, 73, 0, 0, False, 60
170, 4, 71, 73, 74, 0, False, 61
171, 4, 71, 72, 74, 75, False, 62
172, 4, 72, 74, 76, 0, False, 63
173, 4, 73, 75, 76, 0, False, 64
174, 4, 73, 74, 76, 0, False, 65
175, 4, 71, 72, 73, 74, False, 66
176, 4, 71, 73, 74, 75, False, 67
177, 4, 72, 73, 76, 0, False, 68
178, 4, 73, 74, 75, 76, False, 69
179, 4, 73, 74, 75, 76, False, 70
180, 5, 55, 0, 0, 0, False, 42
181, 5, 55, 0, 0, 0, True, 46
182, 5, 55, 0, 0, 0, True, 51
183, 5, 55, 0, 0, 0, True, 52
184, 5, 55, 0, 0, 0, False, 53
185, 5, 55, 0, 0, 0, False, 54
186, 5, 77, 0, 0, 0, False, 71
187, 5, 77, 78, 0, 0, False, 72
188, 5, 77, 78, 0, 0, False, 73
189, 5, 78, 0, 0, 0, False, 74
190, 5, 79, 0, 0, 0, False, 75
191, 5, 79, 0, 0, 0, False, 76
192, 6, 80, 83, 85, 88, False, 77
193, 6, 81, 84, 92, 94, False, 78
194, 6, 81, 85, 86, 0, False, 79
195, 6, 94, 0, 0, 0, True, 93
196, 7, 95, 0, 0, 0, False, 80
197, 7, 96, 0, 0, 0, False, 81
198, 7, 97, 0, 0, 0, True, 83
199, 7, 97, 0, 0, 0, True, 84
200, 7, 98, 0, 0, 0, True, 85
201, 7, 98, 0, 0, 0, True, 86
202, 7, 99, 0, 0, 0, False, 87
203, 7, 91, 99, 0, 0, False, 88
204, 7, 91, 100, 0, 0, False, 89
205, 7, 91, 100, 0, 0, False, 90
206, 7, 101, 0, 0, 0, True, 92
207, 7, 102, 0, 0, 0, True, 94
208, 8, 103, 0, 0, 0, False, 95
209, 8, 103, 0, 0, 0, False, 96
210, 8, 104, 0, 0, 0, False, 99
211, 8, 104, 0, 0, 0, False, 100
212, 9, 105, 0, 0, 0, True, 97
213, 9, 106, 0, 0, 0, True, 101
214, 9, 105, 0, 0, 0, False, 103
215, 9, 106, 0, 0, 0, False, 104
216, 10, 107, 0, 0, 0, True, 98
217, 10, 108, 0, 0, 0, True, 102
218, 10, 107, 0, 0, 0, False, 105
219, 10, 108, 0, 0, 0, False, 106
220, 11, 109, 0, 0, 0, False, 107
221, 11, 109, 0, 0, 0, False, 108
222, 12, 110, 0, 0, 0, False, 109
