节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 2, 3, 0, 0, False, 1
112, 1, 4, 31, 32, 0, False, 1
113, 1, 4, 5, 6, 0, False, 2
114, 1, 4, 5, 6, 0, False, 3
115, 1, 29, 32, 35, 36, False, 24
116, 1, 30, 31, 32, 33, False, 26
117, 2, 7, 8, 0, 0, False, 4
118, 2, 7, 8, 0, 0, False, 5
119, 2, 7, 8, 0, 0, False, 6
120, 2, 45, 46, 0, 0, False, 29
121, 2, 45, 0, 0, 0, False, 30
122, 2, 47, 0, 0, 0, False, 31
123, 2, 46, 47, 0, 0, False, 32
124, 2, 45, 47, 49, 0, False, 33
125, 2, 45, 47, 49, 0, False, 34
126, 2, 48, 50, 51, 0, False, 35
127, 2, 48, 50, 51, 0, False, 36
128, 2, 49, 50, 51, 52, False, 37
129, 2, 50, 51, 52, 0, False, 38
130, 2, 45, 50, 52, 0, False, 39
131, 2, 46, 52, 53, 56, False, 40
132, 2, 45, 46, 47, 53, False, 41
133, 2, 48, 53, 54, 55, False, 42
134, 2, 46, 48, 54, 56, False, 43
135, 2, 47, 49, 54, 56, False, 44
136, 3, 9, 10, 11, 0, False, 7
137, 3, 10, 11, 0, 0, False, 8
138, 3, 60, 0, 0, 0, False, 45
139, 3, 61, 0, 0, 0, False, 46
140, 3, 60, 0, 0, 0, False, 47
141, 3, 60, 61, 63, 0, False, 48
142, 3, 61, 62, 63, 69, False, 49
143, 3, 60, 62, 63, 64, False, 50
144, 3, 61, 62, 64, 65, False, 51
145, 3, 61, 63, 64, 66, False, 52
146, 3, 62, 63, 64, 65, False, 53
147, 3, 60, 66, 67, 68, False, 54
148, 3, 65, 66, 67, 68, False, 55
149, 3, 60, 61, 62, 64, False, 56
150, 3, 60, 63, 64, 67, False, 57
151, 3, 62, 63, 70, 0, False, 58
152, 3, 62, 64, 69, 70, False, 59
153, 4, 12, 0, 0, 0, False, 9
154, 4, 12, 0, 0, 0, False, 10
155, 4, 12, 0, 0, 0, False, 11
156, 4, 71, 73, 0, 0, False, 60
157, 4, 71, 73, 74, 0, False, 61
158, 4, 71, 72, 74, 75, False, 62
159, 4, 72, 74, 76, 0, False, 63
160, 4, 73, 75, 76, 0, False, 64
161, 4, 73, 74, 76, 0, False, 65
162, 4, 71, 72, 73, 74, False, 66
163, 4, 71, 73, 74, 75, False, 67
164, 4, 72, 73, 76, 0, False, 68
165, 4, 73, 74, 75, 76, False, 69
166, 4, 73, 74, 75, 76, False, 70
167, 5, 15, 0, 0, 0, False, 3
168, 5, 15, 16, 0, 0, False, 4
169, 5, 14, 15, 0, 0, False, 12
170, 5, 16, 0, 0, 0, False, 13
171, 5, 77, 0, 0, 0, False, 71
172, 5, 77, 78, 0, 0, False, 72
173, 5, 77, 78, 0, 0, False, 73
174, 5, 78, 0, 0, 0, False, 74
175, 5, 79, 0, 0, 0, False, 75
176, 5, 79, 0, 0, 0, False, 76
177, 6, 80, 83, 84, 0, False, 75
178, 6, 80, 83, 85, 88, False, 77
179, 6, 81, 84, 92, 94, False, 78
180, 6, 81, 85, 86, 0, False, 79
181, 7, 95, 0, 0, 0, False, 80
182, 7, 96, 0, 0, 0, False, 81
183, 7, 97, 0, 0, 0, True, 83
184, 7, 97, 0, 0, 0, True, 84
185, 7, 99, 0, 0, 0, False, 87
186, 7, 91, 99, 0, 0, False, 88
187, 7, 91, 100, 0, 0, False, 89
188, 7, 91, 100, 0, 0, False, 90
189, 7, 101, 0, 0, 0, True, 92
190, 8, 103, 0, 0, 0, False, 95
191, 8, 103, 0, 0, 0, False, 96
192, 8, 104, 0, 0, 0, False, 99
193, 8, 104, 0, 0, 0, False, 100
194, 9, 105, 0, 0, 0, True, 97
195, 9, 106, 0, 0, 0, True, 101
196, 9, 105, 0, 0, 0, False, 103
197, 9, 106, 0, 0, 0, False, 104
198, 10, 107, 107, 0, 0, True, 98
199, 10, 108, 108, 0, 0, True, 102
200, 10, 107, 0, 0, 0, False, 105
201, 10, 108, 0, 0, 0, False, 106
202, 11, 109, 0, 0, 0, False, 107
203, 11, 109, 0, 0, 0, False, 108
204, 12, 110, 0, 0, 0, False, 109
