节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 2, 3, 4, 0, False, 1
112, 1, 5, 6, 7, 8, False, 1
113, 1, 5, 6, 7, 0, True, 2
114, 1, 5, 6, 7, 8, False, 3
115, 1, 5, 6, 7, 8, False, 4
116, 1, 6, 7, 8, 0, True, 5
117, 2, 57, 58, 0, 0, True, 45
118, 2, 58, 59, 0, 0, True, 46
119, 2, 58, 59, 0, 0, True, 52
120, 3, 11, 0, 0, 0, True, 2
121, 3, 11, 11, 0, 0, True, 5
122, 3, 11, 0, 0, 0, True, 6
123, 3, 11, 0, 0, 0, False, 8
124, 3, 51, 0, 0, 0, False, 37
125, 3, 51, 60, 0, 0, True, 45
126, 3, 51, 61, 0, 0, True, 46
127, 3, 61, 63, 64, 66, True, 52
128, 3, 60, 63, 64, 67, False, 57
129, 3, 62, 63, 70, 0, False, 58
130, 3, 62, 64, 69, 70, False, 59
131, 4, 12, 0, 0, 0, True, 2
132, 4, 12, 0, 0, 0, False, 11
133, 4, 72, 74, 0, 0, True, 52
134, 4, 71, 73, 0, 0, False, 60
135, 4, 71, 73, 74, 0, False, 61
136, 4, 71, 72, 74, 75, False, 62
137, 4, 72, 74, 76, 0, False, 63
138, 4, 73, 75, 76, 0, False, 64
139, 4, 73, 74, 76, 0, False, 65
140, 4, 71, 72, 73, 74, False, 66
141, 4, 71, 73, 74, 75, False, 67
142, 4, 72, 73, 76, 0, False, 68
143, 4, 73, 74, 75, 76, False, 69
144, 4, 73, 74, 75, 76, False, 70
145, 5, 5, 13, 14, 15, True, 2
146, 5, 5, 13, 15, 16, False, 3
147, 5, 9, 9, 10, 10, True, 5
148, 5, 13, 15, 16, 17, False, 11
149, 5, 13, 14, 15, 17, False, 12
150, 5, 77, 0, 0, 0, False, 71
151, 5, 77, 78, 0, 0, False, 72
152, 5, 77, 78, 0, 0, False, 73
153, 5, 78, 0, 0, 0, False, 74
154, 5, 79, 0, 0, 0, False, 75
155, 5, 79, 0, 0, 0, False, 76
156, 6, 80, 83, 85, 88, False, 77
157, 6, 81, 84, 94, 0, False, 78
158, 6, 81, 85, 86, 0, False, 79
159, 6, 88, 89, 0, 0, False, 82
160, 6, 94, 0, 0, 0, True, 93
161, 7, 95, 0, 0, 0, False, 80
162, 7, 96, 0, 0, 0, False, 81
163, 7, 97, 0, 0, 0, True, 83
164, 7, 97, 0, 0, 0, True, 84
165, 7, 99, 0, 0, 0, False, 87
166, 7, 91, 99, 0, 0, False, 88
167, 7, 91, 100, 0, 0, False, 89
168, 7, 91, 100, 0, 0, False, 90
169, 7, 93, 101, 0, 0, True, 92
170, 8, 93, 0, 0, 0, True, 91
171, 8, 93, 0, 0, 0, True, 92
172, 8, 103, 0, 0, 0, False, 95
173, 8, 103, 0, 0, 0, False, 96
174, 8, 104, 0, 0, 0, False, 99
175, 8, 104, 0, 0, 0, False, 100
176, 9, 105, 0, 0, 0, True, 97
177, 9, 106, 0, 0, 0, True, 101
178, 9, 105, 0, 0, 0, False, 103
179, 9, 106, 0, 0, 0, False, 104
180, 10, 107, 107, 0, 0, True, 98
181, 10, 108, 108, 0, 0, True, 102
182, 10, 107, 0, 0, 0, False, 105
183, 10, 108, 0, 0, 0, False, 106
184, 11, 109, 0, 0, 0, False, 107
185, 11, 109, 0, 0, 0, False, 108
186, 12, 110, 0, 0, 0, False, 109
