节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 7, 0, 0, 0, False, 1
112, 0, 7, 0, 0, 0, False, 2
113, 0, 8, 0, 0, 0, False, 3
114, 0, 8, 9, 0, 0, False, 4
115, 0, 9, 0, 0, 0, True, 5
116, 0, 9, 0, 0, 0, True, 6
117, 1, 11, 0, 0, 0, True, 5
118, 1, 10, 11, 12, 0, True, 6
119, 1, 10, 0, 0, 0, False, 7
120, 1, 11, 12, 0, 0, False, 8
121, 1, 11, 12, 0, 0, True, 9
122, 3, 14, 17, 0, 0, False, 2
123, 3, 15, 0, 0, 0, False, 3
124, 3, 15, 16, 0, 0, False, 4
125, 3, 17, 21, 0, 0, True, 5
126, 3, 17, 21, 0, 0, True, 6
127, 3, 20, 23, 0, 0, False, 8
128, 3, 14, 21, 0, 0, True, 9
129, 3, 14, 21, 22, 0, False, 10
130, 3, 15, 16, 17, 23, False, 11
131, 3, 17, 20, 23, 24, True, 12
132, 4, 18, 0, 0, 0, True, 6
133, 4, 25, 0, 0, 0, True, 9
134, 4, 25, 0, 0, 0, False, 10
135, 4, 18, 27, 0, 0, True, 12
136, 4, 25, 26, 27, 29, False, 14
137, 4, 27, 31, 0, 0, False, 15
138, 4, 27, 28, 31, 0, False, 16
139, 4, 28, 29, 0, 0, False, 17
140, 4, 29, 31, 0, 0, True, 19
141, 4, 30, 31, 32, 0, False, 20
142, 4, 25, 26, 27, 31, False, 21
143, 4, 28, 29, 31, 0, False, 22
144, 4, 28, 32, 0, 0, False, 23
145, 4, 25, 29, 32, 0, False, 24
146, 5, 37, 0, 0, 0, True, 12
147, 5, 34, 37, 0, 0, False, 22
148, 5, 37, 0, 0, 0, True, 25
149, 5, 37, 0, 0, 0, True, 26
150, 5, 34, 38, 0, 0, False, 27
151, 5, 38, 0, 0, 0, False, 28
152, 5, 34, 0, 0, 0, True, 29
153, 5, 34, 38, 0, 0, False, 30
154, 5, 37, 0, 0, 0, False, 31
155, 5, 38, 0, 0, 0, False, 32
156, 5, 34, 38, 0, 0, True, 33
157, 6, 41, 0, 0, 0, True, 25
158, 6, 41, 0, 0, 0, True, 26
159, 6, 40, 43, 0, 0, False, 27
160, 6, 40, 43, 0, 0, False, 28
161, 6, 40, 44, 0, 0, False, 31
162, 6, 41, 0, 0, 0, True, 33
163, 6, 40, 41, 0, 0, False, 34
164, 6, 40, 41, 0, 0, True, 36
165, 6, 40, 43, 0, 0, False, 37
166, 6, 41, 43, 44, 0, False, 38
167, 6, 44, 0, 0, 0, True, 39
168, 6, 79, 80, 86, 0, False, 70
169, 6, 80, 82, 0, 0, False, 71
170, 6, 81, 83, 88, 90, False, 74
171, 6, 88, 90, 0, 0, True, 84
172, 7, 42, 48, 0, 0, True, 36
173, 7, 46, 0, 0, 0, False, 40
174, 7, 46, 47, 0, 0, False, 41
175, 7, 46, 48, 0, 0, False, 43
176, 7, 47, 0, 0, 0, False, 44
177, 7, 48, 0, 0, 0, True, 45
178, 7, 95, 0, 0, 0, False, 79
179, 7, 95, 0, 0, 0, False, 80
180, 7, 96, 0, 0, 0, False, 81
181, 7, 96, 0, 0, 0, False, 82
182, 7, 99, 0, 0, 0, False, 87
183, 7, 91, 99, 0, 0, False, 88
184, 7, 91, 100, 0, 0, False, 89
185, 7, 91, 100, 0, 0, False, 90
186, 8, 49, 0, 0, 0, True, 33
187, 8, 50, 0, 0, 0, True, 36
188, 8, 49, 50, 51, 0, False, 37
189, 8, 50, 51, 0, 0, False, 38
190, 8, 50, 0, 0, 0, True, 39
191, 8, 49, 0, 0, 0, True, 45
192, 8, 49, 50, 51, 0, False, 46
193, 8, 50, 0, 0, 0, False, 47
194, 8, 51, 0, 0, 0, True, 48
195, 8, 97, 0, 0, 0, True, 83
196, 8, 97, 0, 0, 0, True, 84
197, 8, 93, 101, 0, 0, True, 91
198, 8, 103, 0, 0, 0, False, 95
199, 8, 103, 0, 0, 0, False, 96
200, 8, 104, 0, 0, 0, False, 99
201, 8, 104, 0, 0, 0, False, 100
202, 9, 52, 0, 0, 0, True, 39
203, 9, 52, 53, 0, 0, False, 40
204, 9, 53, 0, 0, 0, False, 41
205, 9, 53, 0, 0, 0, True, 48
206, 9, 52, 0, 0, 0, False, 49
207, 9, 53, 0, 0, 0, False, 50
208, 9, 105, 0, 0, 0, True, 97
