节点编号, 时间步, 子节点1, 子节点2, 子节点3, 子节点4, 节点类型, 原节点编号
111, 0, 4, 5, 6, 7, False, 1
112, 0, 4, 5, 6, 7, False, 2
113, 0, 4, 5, 6, 7, False, 3
114, 1, 8, 9, 0, 0, False, 1
115, 1, 8, 0, 0, 0, False, 3
116, 1, 8, 9, 0, 0, False, 4
117, 1, 8, 9, 0, 0, False, 5
118, 1, 8, 9, 0, 0, False, 6
119, 1, 8, 9, 0, 0, False, 7
120, 2, 58, 59, 0, 0, True, 52
121, 2, 58, 59, 0, 0, False, 54
122, 3, 50, 0, 0, 0, True, 18
123, 3, 62, 0, 0, 0, True, 30
124, 3, 50, 0, 0, 0, False, 44
125, 3, 51, 60, 0, 0, False, 45
126, 3, 50, 51, 61, 0, False, 46
127, 3, 50, 60, 0, 0, False, 47
128, 3, 61, 63, 64, 66, True, 52
129, 3, 62, 63, 64, 65, False, 53
130, 3, 60, 61, 62, 64, False, 56
131, 3, 60, 63, 64, 67, False, 57
132, 3, 62, 63, 70, 0, False, 58
133, 3, 62, 64, 69, 70, False, 59
134, 4, 10, 14, 17, 0, False, 1
135, 4, 16, 17, 19, 0, False, 3
136, 4, 14, 14, 17, 17, True, 10
137, 4, 14, 16, 17, 18, False, 11
138, 4, 14, 16, 17, 18, False, 13
139, 4, 16, 17, 18, 19, True, 14
140, 4, 16, 17, 18, 19, False, 15
141, 4, 17, 17, 18, 18, True, 16
142, 4, 19, 19, 20, 20, True, 18
143, 4, 20, 21, 0, 0, False, 19
144, 4, 72, 74, 0, 0, True, 52
145, 4, 71, 73, 0, 0, False, 60
146, 4, 71, 73, 74, 0, False, 61
147, 4, 71, 72, 74, 75, False, 62
148, 4, 72, 74, 76, 0, False, 63
149, 4, 73, 75, 76, 0, False, 64
150, 4, 73, 74, 76, 0, False, 65
151, 4, 71, 72, 73, 74, False, 66
152, 4, 71, 73, 74, 75, False, 67
153, 4, 72, 73, 76, 0, False, 68
154, 4, 73, 74, 75, 76, False, 69
155, 4, 73, 74, 75, 76, False, 70
156, 5, 10, 14, 0, 0, False, 1
157, 5, 16, 0, 0, 0, False, 3
158, 5, 14, 14, 14, 14, True, 10
159, 5, 16, 16, 18, 18, True, 14
160, 5, 18, 21, 22, 23, True, 16
161, 5, 18, 21, 22, 23, False, 17
162, 5, 21, 22, 23, 24, True, 18
163, 5, 21, 22, 23, 24, False, 19
164, 5, 21, 22, 23, 24, False, 20
165, 5, 22, 23, 0, 0, True, 21
166, 5, 77, 0, 0, 0, False, 71
167, 5, 77, 78, 0, 0, False, 72
168, 5, 77, 78, 0, 0, False, 73
169, 5, 78, 0, 0, 0, False, 74
170, 5, 79, 0, 0, 0, False, 75
171, 5, 79, 0, 0, 0, False, 76
172, 6, 80, 81, 0, 0, False, 72
173, 6, 80, 83, 85, 88, False, 77
174, 6, 81, 84, 94, 0, False, 78
175, 6, 81, 85, 86, 0, False, 79
176, 6, 94, 0, 0, 0, True, 93
177, 7, 27, 0, 0, 0, False, 11
178, 7, 27, 29, 0, 0, False, 13
179, 7, 27, 27, 27, 29, True, 14
180, 7, 27, 27, 28, 28, True, 16
181, 7, 27, 29, 0, 0, True, 18
182, 7, 27, 29, 0, 0, True, 21
183, 7, 28, 29, 0, 0, False, 22
184, 7, 27, 28, 29, 0, False, 23
185, 7, 27, 28, 29, 0, False, 25
186, 7, 27, 28, 29, 0, False, 26
187, 7, 28, 29, 0, 0, False, 27
188, 7, 29, 0, 0, 0, True, 28
189, 7, 95, 0, 0, 0, False, 80
190, 7, 96, 0, 0, 0, False, 81
191, 7, 97, 0, 0, 0, True, 83
192, 7, 97, 0, 0, 0, True, 84
193, 7, 99, 0, 0, 0, False, 87
194, 7, 91, 99, 0, 0, False, 88
195, 7, 91, 100, 0, 0, False, 89
196, 7, 91, 100, 0, 0, False, 90
197, 8, 30, 0, 0, 0, True, 10
198, 8, 28, 0, 0, 0, False, 15
199, 8, 28, 30, 0, 0, True, 16
200, 8, 28, 0, 0, 0, False, 17
201, 8, 30, 0, 0, 0, True, 18
202, 8, 28, 0, 0, 0, False, 19
203, 8, 30, 0, 0, 0, True, 21
204, 8, 28, 0, 0, 0, False, 23
205, 8, 28, 30, 0, 0, False, 25
206, 8, 28, 30, 0, 0, False, 27
207, 8, 30, 0, 0, 0, True, 28
208, 8, 30, 0, 0, 0, False, 29
209, 8, 93, 101, 0, 0, True, 91
210, 8, 93, 101, 0, 0, True, 92
211, 8, 103, 0, 0, 0, False, 95
212, 8, 103, 0, 0, 0, False, 96
213, 8, 104, 0, 0, 0, False, 99
214, 8, 104, 0, 0, 0, False, 100
215, 9, 30, 30, 30, 0, True, 10
216, 9, 30, 30, 30, 30, True, 16
217, 9, 30, 0, 0, 0, True, 18
218, 9, 30, 0, 0, 0, True, 21
219, 9, 30, 0, 0, 0, False, 27
220, 9, 30, 30, 0, 0, True, 28
221, 9, 105, 0, 0, 0, True, 97
222, 9, 106, 0, 0, 0, True, 101
223, 9, 105, 0, 0, 0, False, 103
224, 9, 106, 0, 0, 0, False, 104
225, 10, 107, 107, 0, 0, True, 98
226, 10, 108, 108, 0, 0, True, 102
227, 10, 107, 0, 0, 0, False, 105
228, 10, 108, 0, 0, 0, False, 106
229, 11, 109, 0, 0, 0, False, 107
230, 11, 109, 0, 0, 0, False, 108
231, 12, 110, 0, 0, 0, False, 109
